Alabama, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,366,87
189609,306,27
189709,309,30
189809,299,20
189909,226,-53
190009,365,86
190109,213,-66
190209,247,-32
190309,243,-36
190409,340,61
190509,316,37
190609,383,104
190709,295,16
190809,274,-5
190909,291,12
191009,356,77
191109,437,158
191209,340,61
191309,241,-38
191409,241,-38
191509,322,43
191609,247,-32
191709,235,-44
191809,166,-113
191909,290,11
192009,337,58
192109,461,182
192209,346,67
192309,310,31
192409,218,-61
192509,529,250
192609,411,132
192709,353,74
192809,227,-52
192909,271,-8
193009,331,52
193109,407,128
193209,265,-14
193309,400,121
193409,260,-19
193509,269,-10
193609,367,88
193709,227,-52
193809,264,-15
193909,330,51
194009,219,-60
194109,358,79
194209,216,-63
194309,198,-81
194409,298,19
194509,348,69
194609,217,-62
194709,320,41
194809,220,-59
194909,212,-67
195009,210,-69
195109,303,24
195209,206,-73
195309,251,-28
195409,378,99
195509,340,61
195609,208,-71
195709,255,-24
195809,284,5
195909,281,2
196009,273,-6
196109,272,-7
196209,270,-9
196309,233,-46
196409,278,-1
196509,280,1
196609,227,-52
196709,133,-146
196809,212,-67
196909,206,-73
197009,359,80
197109,294,15
197209,345,66
197309,333,54
197409,174,-105
197509,166,-113
197609,203,-76
197709,306,27
197809,345,66
197909,219,-60
198009,371,92
198109,192,-87
198209,211,-68
198309,211,-68
198409,218,-61
198509,220,-59
198609,327,48
198709,248,-31
198809,272,-7
198909,229,-50
199009,324,45
199109,272,-7
199209,243,-36
199309,256,-23
199409,210,-69
199509,248,-31
199609,209,-70
199709,283,4
199809,362,83
199909,248,-31
200009,259,-20
200109,206,-73
200209,356,77
200309,239,-40
200409,256,-23
200509,346,67
200609,225,-54
200709,324,45
200809,278,-1
200909,288,9
201009,337,58
201109,208,-71
201209,234,-45
201309,289,10
201409,325,46
201509,272,-7
