Oklahoma, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,361,88
189609,254,-19
189709,325,52
189809,298,25
189909,241,-32
190009,338,65
190109,279,6
190209,140,-133
190309,214,-59
190409,304,31
190509,315,42
190609,296,23
190709,309,36
190809,254,-19
190909,306,33
191009,397,124
191109,441,168
191209,238,-35
191309,209,-64
191409,315,42
191509,290,17
191609,253,-20
191709,248,-25
191809,145,-128
191909,295,22
192009,292,19
192109,423,150
192209,340,67
192309,280,7
192409,195,-78
192509,370,97
192609,278,5
192709,272,-1
192809,227,-46
192909,241,-32
193009,367,94
193109,473,200
193209,273,0
193309,394,121
193409,198,-75
193509,196,-77
193609,370,97
193709,283,10
193809,317,44
193909,457,184
194009,236,-37
194109,301,28
194209,207,-66
194309,256,-17
194409,255,-18
194509,269,-4
194609,239,-34
194709,374,101
194809,288,15
194909,164,-109
195009,195,-78
195109,244,-29
195209,286,13
195309,321,48
195409,419,146
195509,334,61
195609,370,97
195709,193,-80
195809,283,10
195909,271,-2
196009,309,36
196109,199,-74
196209,220,-53
196309,308,35
196409,241,-32
196509,270,-3
196609,178,-95
196709,167,-106
196809,197,-76
196909,272,-1
197009,305,32
197109,251,-22
197209,328,55
197309,228,-45
197409,95,-178
197509,159,-114
197609,216,-57
197709,347,74
197809,387,114
197909,229,-44
198009,356,83
198109,264,-9
198209,267,-6
198309,300,27
198409,216,-57
198509,277,4
198609,295,22
198709,212,-61
198809,253,-20
198909,147,-126
199009,335,62
199109,197,-76
199209,217,-56
199309,177,-96
199409,204,-69
199509,201,-72
199609,174,-99
199709,286,13
199809,452,179
199909,194,-79
200009,325,52
200109,206,-67
200209,296,23
200309,166,-107
200409,281,8
200509,354,81
200609,184,-89
200709,289,16
200809,194,-79
200909,194,-79
201009,308,35
201109,207,-66
201209,305,32
201309,335,62
201409,271,-2
201509,352,79
