North Carolina, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,283,101
189609,180,-2
189709,189,7
189809,221,39
189909,159,-23
190009,283,101
190109,160,-22
190209,132,-50
190309,139,-43
190409,162,-20
190509,212,30
190609,264,82
190709,222,40
190809,122,-60
190909,116,-66
191009,212,30
191109,292,110
191209,268,86
191309,119,-63
191409,113,-69
191509,225,43
191609,130,-52
191709,98,-84
191809,81,-101
191909,177,-5
192009,218,36
192109,363,181
192209,210,28
192309,220,38
192409,101,-81
192509,359,177
192609,274,92
192709,210,28
192809,110,-72
192909,162,-20
193009,295,113
193109,278,96
193209,178,-4
193309,310,128
193409,231,49
193509,169,-13
193609,230,48
193709,119,-63
193809,185,3
193909,240,58
194009,133,-49
194109,258,76
194209,213,31
194309,118,-64
194409,206,24
194509,264,82
194609,163,-19
194709,201,19
194809,145,-37
194909,127,-55
195009,143,-39
195109,182,0
195209,150,-32
195309,163,-19
195409,258,76
195509,200,18
195609,129,-53
195709,215,33
195809,155,-27
195909,179,-3
196009,179,-3
196109,230,48
196209,125,-57
196309,104,-78
196409,145,-37
196509,194,12
196609,138,-44
196709,65,-117
196809,153,-29
196909,126,-56
197009,263,81
197109,206,24
197209,181,-1
197309,243,61
197409,128,-54
197509,171,-11
197609,120,-62
197709,227,45
197809,219,37
197909,165,-17
198009,267,85
198109,119,-63
198209,130,-52
198309,169,-13
198409,106,-76
198509,158,-24
198609,192,10
198709,198,16
198809,140,-42
198909,174,-8
199009,178,-4
199109,172,-10
199209,176,-6
199309,222,40
199409,118,-64
199509,140,-42
199609,154,-28
199709,165,-17
199809,257,75
199909,138,-44
200009,146,-36
200109,117,-65
200209,227,45
200309,157,-25
200409,174,-8
200509,271,89
200609,131,-51
200709,242,60
200809,186,4
200909,164,-18
201009,263,81
201109,197,15
201209,167,-15
201309,161,-21
201409,200,18
201509,213,31
