Connecticut, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,10,2
189605,22,14
189705,6,-2
189805,0,-8
189905,7,-1
190005,0,-8
190105,0,-8
190205,3,-5
190305,13,5
190405,16,8
190505,7,-1
190605,7,-1
190705,0,-8
190805,12,4
190905,0,-8
191005,3,-5
191105,30,22
191205,8,0
191305,0,-8
191405,14,6
191505,0,-8
191605,5,-3
191705,0,-8
191805,25,17
191905,7,-1
192005,0,-8
192105,7,-1
192205,17,9
192305,0,-8
192405,0,-8
192505,0,-8
192605,0,-8
192705,0,-8
192805,0,-8
192905,6,-2
193005,13,5
193105,8,0
193205,9,1
193305,20,12
193405,16,8
193505,0,-8
193605,15,7
193705,15,7
193805,0,-8
193905,13,5
194005,6,-2
194105,11,3
194205,24,16
194305,9,1
194405,37,29
194505,0,-8
194605,0,-8
194705,0,-8
194805,0,-8
194905,9,1
195005,0,-8
195105,9,1
195205,0,-8
195305,12,4
195405,0,-8
195505,20,12
195605,0,-8
195705,9,1
195805,0,-8
195905,20,12
196005,10,2
196105,0,-8
196205,7,-1
196305,3,-5
196405,17,9
196505,21,13
196605,0,-8
196705,0,-8
196805,0,-8
196905,6,-2
197005,10,2
197105,0,-8
197205,9,1
197305,0,-8
197405,0,-8
197505,21,13
197605,5,-3
197705,15,7
197805,3,-5
197905,19,11
198005,15,7
198105,12,4
198205,13,5
198305,0,-8
198405,0,-8
198505,15,7
198605,15,7
198705,9,1
198805,9,1
198905,10,2
199005,0,-8
199105,45,37
199205,7,-1
199305,17,9
199405,5,-3
199505,0,-8
199605,5,-3
199705,0,-8
199805,27,19
199905,13,5
200005,10,2
200105,15,7
200205,0,-8
200305,0,-8
200405,20,12
200505,0,-8
200605,8,0
200705,18,10
200805,0,-8
200905,10,2
201005,28,20
201105,19,11
201205,33,25
201305,11,3
201405,13,5
201505,44,36
