New York, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,56,20
189609,17,-19
189709,20,-16
189809,57,21
189909,15,-21
190009,72,36
190109,32,-4
190209,23,-13
190309,23,-13
190409,15,-21
190509,23,-13
190609,57,21
190709,37,1
190809,45,9
190909,18,-18
191009,32,-4
191109,25,-11
191209,25,-11
191309,13,-23
191409,23,-13
191509,61,25
191609,28,-8
191709,7,-29
191809,5,-31
191909,28,-8
192009,41,5
192109,88,52
192209,41,5
192309,41,5
192409,8,-28
192509,40,4
192609,19,-17
192709,32,-4
192809,10,-26
192909,52,16
193009,74,38
193109,89,53
193209,39,3
193309,50,14
193409,59,23
193509,15,-21
193609,39,3
193709,16,-20
193809,12,-24
193909,35,-1
194009,17,-19
194109,48,12
194209,31,-5
194309,25,-11
194409,48,12
194509,68,32
194609,53,17
194709,45,9
194809,46,10
194909,17,-19
195009,11,-25
195109,33,-3
195209,42,6
195309,46,10
195409,25,-11
195509,31,-5
195609,13,-23
195709,45,9
195809,28,-8
195909,84,48
196009,37,1
196109,139,103
196209,12,-24
196309,6,-30
196409,33,-3
196509,42,6
196609,21,-15
196709,26,-10
196809,57,21
196909,38,2
197009,55,19
197109,78,42
197209,43,7
197309,41,5
197409,25,-11
197509,12,-24
197609,21,-15
197709,38,2
197809,15,-21
197909,32,-4
198009,58,22
198109,23,-13
198209,28,-8
198309,66,30
198409,16,-20
198509,52,16
198609,22,-14
198709,31,-5
198809,25,-11
198909,40,4
199009,30,-6
199109,28,-8
199209,29,-7
199309,31,-5
199409,29,-7
199509,27,-9
199609,43,7
199709,30,-6
199809,66,30
199909,66,30
200009,29,-7
200109,39,3
200209,76,40
200309,52,16
200409,63,27
200509,108,72
200609,29,-7
200709,68,32
200809,60,24
200909,29,-7
201009,77,41
201109,84,48
201209,50,14
201309,28,-8
201409,57,21
201509,128,92
