Texas, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,424,-38
189606,545,83
189706,486,24
189806,471,9
189906,465,3
190006,510,48
190106,519,57
190206,533,71
190306,313,-149
190406,432,-30
190506,475,13
190606,494,32
190706,449,-13
190806,492,30
190906,479,17
191006,446,-16
191106,560,98
191206,385,-77
191306,403,-59
191406,491,29
191506,495,33
191606,503,41
191706,480,18
191806,552,90
191906,359,-103
192006,405,-57
192106,433,-29
192206,448,-14
192306,487,25
192406,510,48
192506,557,95
192606,452,-10
192706,442,-20
192806,453,-9
192906,474,12
193006,438,-24
193106,478,16
193206,481,19
193306,453,-9
193406,566,104
193506,423,-39
193606,511,49
193706,500,38
193806,476,14
193906,495,33
194006,386,-76
194106,404,-58
194206,468,6
194306,487,25
194406,490,28
194506,459,-3
194606,412,-50
194706,487,25
194806,517,55
194906,475,13
195006,441,-21
195106,472,10
195206,503,41
195306,597,135
195406,503,41
195506,410,-52
195606,511,49
195706,440,-22
195806,514,52
195906,464,2
196006,498,36
196106,399,-63
196206,431,-31
196306,492,30
196406,455,-7
196506,447,-15
196606,410,-52
196706,484,22
196806,412,-50
196906,442,-20
197006,408,-54
197106,490,28
197206,455,-7
197306,391,-71
197406,417,-45
197506,427,-35
197606,400,-62
197706,484,22
197806,481,19
197906,407,-55
198006,546,84
198106,453,-9
198206,438,-24
198306,378,-84
198406,466,4
198506,437,-25
198606,444,-18
198706,407,-55
198806,414,-48
198906,401,-61
199006,556,94
199106,456,-6
199206,428,-34
199306,439,-23
199406,508,46
199506,395,-67
199606,492,30
199706,414,-48
199806,586,124
199906,462,0
200006,444,-18
200106,469,7
200206,464,2
200306,441,-21
200406,429,-33
200506,496,34
200606,475,13
200706,430,-32
200806,548,86
200906,531,69
201006,547,85
201106,601,139
201206,524,62
201306,522,60
201406,484,22
201506,463,1
