Montana, Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,0,0
189601,0,0
189701,0,0
189801,0,0
189901,0,0
190001,1,1
190101,0,0
190201,0,0
190301,0,0
190401,0,0
190501,0,0
190601,0,0
190701,0,0
190801,0,0
190901,0,0
191001,0,0
191101,0,0
191201,0,0
191301,0,0
191401,0,0
191501,0,0
191601,0,0
191701,0,0
191801,0,0
191901,4,4
192001,0,0
192101,0,0
192201,0,0
192301,0,0
192401,0,0
192501,0,0
192601,1,1
192701,0,0
192801,0,0
192901,0,0
193001,0,0
193101,1,1
193201,0,0
193301,0,0
193401,3,3
193501,0,0
193601,0,0
193701,0,0
193801,0,0
193901,1,1
194001,0,0
194101,0,0
194201,0,0
194301,0,0
194401,1,1
194501,0,0
194601,0,0
194701,0,0
194801,1,1
194901,0,0
195001,0,0
195101,0,0
195201,0,0
195301,2,2
195401,0,0
195501,0,0
195601,0,0
195701,0,0
195801,3,3
195901,0,0
196001,0,0
196101,1,1
196201,0,0
196301,0,0
196401,0,0
196501,0,0
196601,0,0
196701,0,0
196801,0,0
196901,0,0
197001,0,0
197101,0,0
197201,0,0
197301,0,0
197401,0,0
197501,0,0
197601,0,0
197701,0,0
197801,0,0
197901,0,0
198001,0,0
198101,3,3
198201,0,0
198301,1,1
198401,1,1
198501,0,0
198601,4,4
198701,1,1
198801,0,0
198901,0,0
199001,1,1
199101,0,0
199201,4,4
199301,0,0
199401,0,0
199501,0,0
199601,0,0
199701,0,0
199801,0,0
199901,0,0
200001,0,0
200101,1,1
200201,0,0
200301,0,0
200401,0,0
200501,0,0
200601,6,6
200701,0,0
200801,0,0
200901,0,0
201001,0,0
201101,0,0
201201,1,1
201301,0,0
201401,1,1
201501,0,0
