Idaho, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,125,-9
189608,129,-5
189708,188,54
189808,195,61
189908,44,-90
190008,73,-61
190108,204,70
190208,108,-26
190308,133,-1
190408,163,29
190508,150,16
190608,136,2
190708,67,-67
190808,93,-41
190908,136,2
191008,66,-68
191108,74,-60
191208,61,-73
191308,139,5
191408,126,-8
191508,220,86
191608,100,-34
191708,128,-6
191808,59,-75
191908,168,34
192008,139,5
192108,149,15
192208,181,47
192308,131,-3
192408,114,-20
192508,99,-35
192608,141,7
192708,107,-27
192808,98,-36
192908,205,71
193008,179,45
193108,176,42
193208,100,-34
193308,130,-4
193408,183,49
193508,127,-7
193608,164,30
193708,114,-20
193808,112,-22
193908,162,28
194008,171,37
194108,118,-16
194208,139,5
194308,111,-23
194408,96,-38
194508,141,7
194608,145,11
194708,119,-15
194808,103,-31
194908,156,22
195008,125,-9
195108,109,-25
195208,139,5
195308,126,-8
195408,78,-56
195508,163,29
195608,94,-40
195708,111,-23
195808,204,70
195908,96,-38
196008,75,-59
196108,235,101
196208,90,-44
196308,143,9
196408,79,-55
196508,94,-40
196608,131,-3
196708,216,82
196808,60,-74
196908,147,13
197008,173,39
197108,219,85
197208,160,26
197308,136,2
197408,107,-27
197508,71,-63
197608,64,-70
197708,144,10
197808,88,-46
197908,134,0
198008,73,-61
198108,195,61
198208,153,19
198308,183,49
198408,178,44
198508,78,-56
198608,202,68
198708,96,-38
198808,131,-3
198908,91,-43
199008,153,19
199108,208,74
199208,158,24
199308,64,-70
199408,204,70
199508,97,-37
199608,140,6
199708,159,25
199808,200,66
199908,166,32
200008,186,52
200108,230,96
200208,95,-39
200308,217,83
200408,144,10
200508,166,32
200608,133,-1
200708,166,32
200808,159,25
200908,140,6
201008,114,-20
201108,190,56
201208,210,76
201308,226,92
201408,143,9
201508,184,50
