Arizona, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,390,-29
189609,405,-14
189709,395,-24
189809,424,5
189909,462,43
190009,283,-136
190109,353,-66
190209,384,-35
190309,372,-47
190409,364,-55
190509,447,28
190609,374,-45
190709,416,-3
190809,378,-41
190909,375,-44
191009,494,75
191109,422,3
191209,299,-120
191309,388,-31
191409,452,33
191509,346,-73
191609,361,-58
191709,425,6
191809,431,12
191909,371,-48
192009,342,-77
192109,392,-27
192209,471,52
192309,323,-96
192409,438,19
192509,352,-67
192609,436,17
192709,390,-29
192809,443,24
192909,407,-12
193009,353,-66
193109,433,14
193209,466,47
193309,488,69
193409,411,-8
193509,412,-7
193609,379,-40
193709,494,75
193809,477,58
193909,387,-32
194009,434,15
194109,325,-94
194209,427,8
194309,456,37
194409,407,-12
194509,436,17
194609,434,15
194709,500,81
194809,469,50
194909,495,76
195009,345,-74
195109,434,15
195209,488,69
195309,460,41
195409,471,52
195509,427,8
195609,519,100
195709,421,2
195809,436,17
195909,392,-27
196009,482,63
196109,343,-76
196209,455,36
196309,479,60
196409,358,-61
196509,332,-87
196609,411,-8
196709,410,-9
196809,400,-19
196909,473,54
197009,349,-70
197109,404,-15
197209,396,-23
197309,389,-30
197409,424,5
197509,425,6
197609,347,-72
197709,443,24
197809,413,-6
197909,524,105
198009,437,18
198109,455,36
198209,415,-4
198309,506,87
198409,453,34
198509,289,-130
198609,306,-113
198709,396,-23
198809,378,-41
198909,460,41
199009,435,16
199109,419,0
199209,464,45
199309,412,-7
199409,472,53
199509,510,91
199609,366,-53
199709,523,104
199809,477,58
199909,460,41
200009,514,95
200109,532,113
200209,486,67
200309,504,85
200409,432,13
200509,470,51
200609,374,-45
200709,483,64
200809,479,60
200909,491,72
201009,526,107
201109,515,96
201209,465,46
201309,440,21
201409,470,51
201509,493,74
