Tennessee, Cooling Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,6,-5
189603,1,-10
189703,19,8
189803,23,12
189903,7,-4
190003,4,-7
190103,7,-4
190203,10,-1
190303,25,14
190403,13,2
190503,24,13
190603,0,-11
190703,51,40
190803,30,19
190903,7,-4
191003,35,24
191103,12,1
191203,0,-11
191303,9,-2
191403,0,-11
191503,0,-11
191603,4,-7
191703,9,-2
191803,29,18
191903,10,-1
192003,6,-5
192103,54,43
192203,12,1
192303,5,-6
192403,0,-11
192503,14,3
192603,0,-11
192703,11,0
192803,6,-5
192903,20,9
193003,4,-7
193103,0,-11
193203,1,-10
193303,5,-6
193403,4,-7
193503,32,21
193603,18,7
193703,0,-11
193803,33,22
193903,14,3
194003,5,-6
194103,0,-11
194203,8,-3
194303,0,-11
194403,7,-4
194503,47,36
194603,35,24
194703,0,-11
194803,15,4
194903,6,-5
195003,4,-7
195103,8,-3
195203,5,-6
195303,15,4
195403,5,-6
195503,12,1
195603,8,-3
195703,5,-6
195803,0,-11
195903,5,-6
196003,0,-11
196103,15,4
196203,0,-11
196303,19,8
196403,6,-5
196503,0,-11
196603,7,-4
196703,23,12
196803,5,-6
196903,0,-11
197003,4,-7
197103,0,-11
197203,6,-5
197303,28,17
197403,23,12
197503,1,-10
197603,22,11
197703,19,8
197803,0,-11
197903,11,0
198003,0,-11
198103,4,-7
198203,15,4
198303,8,-3
198403,4,-7
198503,16,5
198603,8,-3
198703,13,2
198803,9,-2
198903,14,3
199003,15,4
199103,14,3
199203,8,-3
199303,2,-9
199403,7,-4
199503,17,6
199603,0,-11
199703,20,9
199803,7,-4
199903,2,-9
200003,19,8
200103,1,-10
200203,8,-3
200303,14,3
200403,19,8
200503,5,-6
200603,11,0
200703,41,30
200803,9,-2
200903,13,2
201003,6,-5
201103,13,2
201203,70,59
201303,0,-11
201403,0,-11
201503,10,-1
