Georgia, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,351,22
189606,343,14
189706,440,111
189806,433,104
189906,417,88
190006,294,-35
190106,357,28
190206,406,77
190306,237,-92
190406,342,13
190506,384,55
190606,369,40
190706,300,-29
190806,347,18
190906,373,44
191006,263,-66
191106,445,116
191206,274,-55
191306,334,5
191406,480,151
191506,334,5
191606,313,-16
191706,318,-11
191806,365,36
191906,345,16
192006,336,7
192106,416,87
192206,366,37
192306,306,-23
192406,390,61
192506,430,101
192606,334,5
192706,325,-4
192806,292,-37
192906,295,-34
193006,289,-40
193106,406,77
193206,352,23
193306,374,45
193406,378,49
193506,330,1
193606,386,57
193706,392,63
193806,277,-52
193906,390,61
194006,331,2
194106,349,20
194206,352,23
194306,430,101
194406,418,89
194506,350,21
194606,298,-31
194706,298,-31
194806,358,29
194906,311,-18
195006,345,16
195106,348,19
195206,475,146
195306,383,54
195406,354,25
195506,212,-117
195606,311,-18
195706,338,9
195806,337,8
195906,310,-19
196006,315,-14
196106,242,-87
196206,311,-18
196306,282,-47
196406,368,39
196506,244,-85
196606,232,-97
196706,246,-83
196806,299,-30
196906,350,21
197006,268,-61
197106,343,14
197206,213,-116
197306,309,-20
197406,215,-114
197506,286,-43
197606,240,-89
197706,358,29
197806,343,14
197906,250,-79
198006,316,-13
198106,411,82
198206,306,-23
198306,242,-87
198406,329,0
198506,327,-2
198606,388,59
198706,328,-1
198806,312,-17
198906,301,-28
199006,337,8
199106,299,-30
199206,245,-84
199306,338,9
199406,339,10
199506,263,-66
199606,306,-23
199706,210,-119
199806,411,82
199906,291,-38
200006,338,9
200106,285,-44
200206,323,-6
200306,272,-57
200406,337,8
200506,296,-33
200606,324,-5
200706,346,17
200806,382,53
200906,393,64
201006,436,107
201106,427,98
201206,285,-44
201306,331,2
201406,350,21
201506,380,51
