Virginia, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,250,51
189606,186,-13
189706,192,-7
189806,227,28
189906,278,79
190006,226,27
190106,206,7
190206,195,-4
190306,103,-96
190406,194,-5
190506,217,18
190606,234,35
190706,73,-126
190806,176,-23
190906,243,44
191006,128,-71
191106,229,30
191206,156,-43
191306,186,-13
191406,257,58
191506,137,-62
191606,128,-71
191706,181,-18
191806,146,-53
191906,203,4
192006,161,-38
192106,226,27
192206,237,38
192306,259,60
192406,177,-22
192506,310,111
192606,134,-65
192706,108,-91
192806,157,-42
192906,160,-39
193006,202,3
193106,205,6
193206,213,14
193306,244,45
193406,308,109
193506,195,-4
193606,204,5
193706,257,58
193806,162,-37
193906,284,85
194006,235,36
194106,196,-3
194206,244,45
194306,351,152
194406,272,73
194506,222,23
194606,175,-24
194706,164,-35
194806,208,9
194906,229,30
195006,189,-10
195106,202,3
195206,313,114
195306,227,28
195406,212,13
195506,104,-95
195606,200,1
195706,249,50
195806,139,-60
195906,209,10
196006,190,-9
196106,158,-41
196206,176,-23
196306,173,-26
196406,220,21
196506,145,-54
196606,179,-20
196706,157,-42
196806,193,-6
196906,236,37
197006,205,6
197106,227,28
197206,103,-96
197306,251,52
197406,116,-83
197506,200,1
197606,202,3
197706,146,-53
197806,196,-3
197906,114,-85
198006,157,-42
198106,272,73
198206,156,-43
198306,183,-16
198406,245,46
198506,168,-31
198606,248,49
198706,253,54
198806,175,-24
198906,261,62
199006,199,0
199106,225,26
199206,117,-82
199306,205,6
199406,279,80
199506,193,-6
199606,235,36
199706,147,-52
199806,215,16
199906,192,-7
200006,246,47
200106,218,19
200206,256,57
200306,153,-46
200406,197,-2
200506,231,32
200606,201,2
200706,231,32
200806,290,91
200906,216,17
201006,351,152
201106,272,73
201206,185,-14
201306,236,37
201406,236,37
201506,273,74
