Georgia, Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,5,-3
189601,2,-6
189701,2,-6
189801,14,6
189901,4,-4
190001,3,-5
190101,5,-3
190201,2,-6
190301,3,-5
190401,1,-7
190501,1,-7
190601,6,-2
190701,27,19
190801,3,-5
190901,15,7
191001,4,-4
191101,13,5
191201,1,-7
191301,22,14
191401,5,-3
191501,3,-5
191601,21,13
191701,15,7
191801,0,-8
191901,5,-3
192001,7,-1
192101,9,1
192201,5,-3
192301,15,7
192401,3,-5
192501,8,0
192601,3,-5
192701,6,-2
192801,4,-4
192901,9,1
193001,7,-1
193101,2,-6
193201,29,21
193301,20,12
193401,9,1
193501,7,-1
193601,2,-6
193701,47,39
193801,6,-2
193901,9,1
194001,0,-8
194101,6,-2
194201,4,-4
194301,9,1
194401,5,-3
194501,5,-3
194601,8,0
194701,18,10
194801,1,-7
194901,29,21
195001,50,42
195101,7,-1
195201,23,15
195301,13,5
195401,9,1
195501,4,-4
195601,2,-6
195701,11,3
195801,1,-7
195901,4,-4
196001,6,-2
196101,1,-7
196201,4,-4
196301,2,-6
196401,3,-5
196501,6,-2
196601,2,-6
196701,7,-1
196801,2,-6
196901,3,-5
197001,0,-8
197101,6,-2
197201,19,11
197301,4,-4
197401,50,42
197501,15,7
197601,2,-6
197701,0,-8
197801,1,-7
197901,1,-7
198001,7,-1
198101,1,-7
198201,3,-5
198301,1,-7
198401,2,-6
198501,1,-7
198601,4,-4
198701,3,-5
198801,1,-7
198901,19,11
199001,18,10
199101,7,-1
199201,5,-3
199301,15,7
199401,2,-6
199501,6,-2
199601,4,-4
199701,8,0
199801,14,6
199901,14,6
200001,6,-2
200101,2,-6
200201,8,0
200301,1,-7
200401,4,-4
200501,14,6
200601,20,12
200701,10,2
200801,4,-4
200901,6,-2
201001,1,-7
201101,1,-7
201201,15,7
201301,22,14
201401,1,-7
201501,4,-4
