Georgia, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,127,-36
189605,306,143
189705,132,-31
189805,254,91
189905,275,112
190005,159,-4
190105,184,21
190205,284,121
190305,151,-12
190405,151,-12
190505,248,85
190605,154,-9
190705,151,-12
190805,197,34
190905,136,-27
191005,130,-33
191105,214,51
191205,195,32
191305,186,23
191405,198,35
191505,248,85
191605,244,81
191705,80,-83
191805,205,42
191905,160,-3
192005,130,-33
192105,136,-27
192205,177,14
192305,115,-48
192405,101,-62
192505,134,-29
192605,166,3
192705,204,41
192805,118,-45
192905,158,-5
193005,202,39
193105,114,-49
193205,141,-22
193305,276,113
193405,150,-13
193505,188,25
193605,214,51
193705,173,10
193805,190,27
193905,140,-23
194005,113,-50
194105,201,38
194205,162,-1
194305,198,35
194405,197,34
194505,106,-57
194605,140,-23
194705,145,-18
194805,176,13
194905,177,14
195005,220,57
195105,139,-24
195205,182,19
195305,256,93
195405,71,-92
195505,212,49
195605,204,41
195705,175,12
195805,164,1
195905,211,48
196005,112,-51
196105,94,-69
196205,287,124
196305,151,-12
196405,162,-1
196505,219,56
196605,125,-38
196705,116,-47
196805,115,-48
196905,133,-30
197005,160,-3
197105,96,-67
197205,103,-60
197305,96,-67
197405,180,17
197505,207,44
197605,80,-83
197705,180,17
197805,138,-25
197905,144,-19
198005,145,-18
198105,96,-67
198205,184,21
198305,126,-37
198405,120,-43
198505,152,-11
198605,172,9
198705,209,46
198805,108,-55
198905,101,-62
199005,147,-16
199105,223,60
199205,95,-68
199305,134,-29
199405,107,-56
199505,193,30
199605,210,47
199705,78,-85
199805,234,71
199905,127,-36
200005,228,65
200105,156,-7
200205,135,-28
200305,165,2
200405,228,65
200505,100,-63
200605,143,-20
200705,155,-8
200805,140,-23
200905,166,3
201005,221,58
201105,163,0
201205,226,63
201305,105,-58
201405,163,0
201505,192,29
