Delaware, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,221,43
189606,136,-42
189706,94,-84
189806,186,8
189906,238,60
190006,195,17
190106,177,-1
190206,148,-30
190306,60,-118
190406,139,-39
190506,156,-22
190606,205,27
190706,48,-130
190806,175,-3
190906,188,10
191006,104,-74
191106,173,-5
191206,136,-42
191306,167,-11
191406,198,20
191506,113,-65
191606,81,-97
191706,179,1
191806,116,-62
191906,176,-2
192006,153,-25
192106,208,30
192206,223,45
192306,260,82
192406,116,-62
192506,326,148
192606,91,-87
192706,80,-98
192806,132,-46
192906,168,-10
193006,225,47
193106,164,-14
193206,169,-9
193306,217,39
193406,278,100
193506,162,-16
193606,169,-9
193706,208,30
193806,156,-22
193906,229,51
194006,181,3
194106,158,-20
194206,203,25
194306,323,145
194406,205,27
194506,201,23
194606,129,-49
194706,129,-49
194806,170,-8
194906,222,44
195006,149,-29
195106,162,-16
195206,243,65
195306,187,9
195406,195,17
195506,106,-72
195606,184,6
195706,270,92
195806,103,-75
195906,218,40
196006,182,4
196106,168,-10
196206,187,9
196306,169,-9
196406,193,15
196506,148,-30
196606,196,18
196706,174,-4
196806,177,-1
196906,233,55
197006,170,-8
197106,208,30
197206,97,-81
197306,254,76
197406,111,-67
197506,184,6
197606,241,63
197706,123,-55
197806,176,-2
197906,95,-83
198006,129,-49
198106,224,46
198206,121,-57
198306,189,11
198406,231,53
198506,144,-34
198606,221,43
198706,252,74
198806,189,11
198906,259,81
199006,191,13
199106,235,57
199206,118,-60
199306,192,14
199406,284,106
199506,189,11
199606,219,41
199706,139,-39
199806,183,5
199906,197,19
200006,231,53
200106,247,69
200206,231,53
200306,146,-32
200406,183,5
200506,236,58
200606,209,31
200706,234,56
200806,301,123
200906,173,-5
201006,360,182
201106,275,97
201206,227,49
201306,243,65
201406,230,52
201506,247,69
