Utah, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,22,-9
189609,21,-10
189709,32,1
189809,26,-5
189909,41,10
190009,10,-21
190109,14,-17
190209,25,-6
190309,12,-19
190409,26,-5
190509,24,-7
190609,16,-15
190709,18,-13
190809,18,-13
190909,16,-15
191009,37,6
191109,28,-3
191209,3,-28
191309,18,-13
191409,24,-7
191509,16,-15
191609,14,-17
191709,29,-2
191809,34,3
191909,38,7
192009,20,-11
192109,20,-11
192209,56,25
192309,18,-13
192409,21,-10
192509,17,-14
192609,17,-14
192709,21,-10
192809,37,6
192909,17,-14
193009,22,-9
193109,36,5
193209,34,3
193309,51,20
193409,24,-7
193509,54,23
193609,21,-10
193709,53,22
193809,60,29
193909,32,1
194009,37,6
194109,10,-21
194209,31,0
194309,54,23
194409,35,4
194509,19,-12
194609,29,-2
194709,44,13
194809,45,14
194909,47,16
195009,24,-7
195109,31,0
195209,55,24
195309,53,22
195409,35,4
195509,35,4
195609,48,17
195709,26,-5
195809,35,4
195909,16,-15
196009,59,28
196109,10,-21
196209,44,13
196309,56,25
196409,21,-10
196509,4,-27
196609,43,12
196709,37,6
196809,17,-14
196909,54,23
197009,11,-20
197109,12,-19
197209,17,-14
197309,15,-16
197409,35,4
197509,29,-2
197609,33,2
197709,33,2
197809,17,-14
197909,67,36
198009,30,-1
198109,50,19
198209,20,-11
198309,40,9
198409,29,-2
198509,10,-21
198609,8,-23
198709,35,4
198809,22,-9
198909,36,5
199009,82,51
199109,30,-1
199209,38,7
199309,26,-5
199409,58,27
199509,43,12
199609,19,-12
199709,39,8
199809,47,16
199909,25,-6
200009,36,5
200109,77,46
200209,33,2
200309,38,7
200409,26,-5
200509,28,-3
200609,17,-14
200709,36,5
200809,37,6
200909,68,37
201009,54,23
201109,55,24
201209,56,25
201309,34,3
201409,58,27
201509,75,44
