Missouri, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,213,66
189609,88,-59
189709,276,129
189809,194,47
189909,118,-29
190009,193,46
190109,147,0
190209,54,-93
190309,103,-44
190409,157,10
190509,155,8
190609,205,58
190709,130,-17
190809,183,36
190909,134,-13
191009,151,4
191109,244,97
191209,137,-10
191309,149,2
191409,151,4
191509,171,24
191609,121,-26
191709,123,-24
191809,45,-102
191909,192,45
192009,169,22
192109,241,94
192209,190,43
192309,137,-10
192409,65,-82
192509,270,123
192609,152,5
192709,197,50
192809,77,-70
192909,120,-27
193009,194,47
193109,299,152
193209,118,-29
193309,269,122
193409,88,-59
193509,130,-17
193609,241,94
193709,147,0
193809,192,45
193909,285,138
194009,138,-9
194109,192,45
194209,112,-35
194309,85,-62
194409,141,-6
194509,147,0
194609,123,-24
194709,207,60
194809,168,21
194909,52,-95
195009,97,-50
195109,83,-64
195209,129,-18
195309,197,50
195409,237,90
195509,194,47
195609,167,20
195709,99,-48
195809,137,-10
195909,158,11
196009,210,63
196109,127,-20
196209,93,-54
196309,157,10
196409,142,-5
196509,135,-12
196609,82,-65
196709,83,-64
196809,108,-39
196909,134,-13
197009,175,28
197109,181,34
197209,179,32
197309,153,6
197409,43,-104
197509,72,-75
197609,128,-19
197709,171,24
197809,224,77
197909,121,-26
198009,194,47
198109,127,-20
198209,110,-37
198309,164,17
198409,108,-39
198509,138,-9
198609,201,54
198709,129,-18
198809,151,4
198909,70,-77
199009,201,54
199109,131,-16
199209,101,-46
199309,62,-85
199409,105,-42
199509,84,-63
199609,87,-60
199709,147,0
199809,255,108
199909,112,-35
200009,155,8
200109,108,-39
200209,194,47
200309,87,-60
200409,148,1
200509,221,74
200609,89,-58
200709,189,42
200809,124,-23
200909,113,-34
201009,151,4
201109,87,-60
201209,118,-29
201309,195,48
201409,120,-27
201509,218,71
