Alabama, Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,5,-7
189601,4,-8
189701,4,-8
189801,19,7
189901,5,-7
190001,5,-7
190101,9,-3
190201,5,-7
190301,4,-8
190401,3,-9
190501,2,-10
190601,13,1
190701,39,27
190801,5,-7
190901,21,9
191001,9,-3
191101,22,10
191201,2,-10
191301,27,15
191401,14,2
191501,4,-8
191601,28,16
191701,22,10
191801,1,-11
191901,6,-6
192001,11,-1
192101,19,7
192201,12,0
192301,25,13
192401,2,-10
192501,14,2
192601,5,-7
192701,16,4
192801,5,-7
192901,15,3
193001,8,-4
193101,5,-7
193201,30,18
193301,27,15
193401,17,5
193501,13,1
193601,6,-6
193701,61,49
193801,11,-1
193901,18,6
194001,0,-12
194101,10,-2
194201,4,-8
194301,15,3
194401,8,-4
194501,7,-5
194601,10,-2
194701,20,8
194801,1,-11
194901,33,21
195001,78,66
195101,13,1
195201,33,21
195301,19,7
195401,13,1
195501,6,-6
195601,4,-8
195701,19,7
195801,1,-11
195901,4,-8
196001,7,-5
196101,1,-11
196201,4,-8
196301,2,-10
196401,4,-8
196501,12,0
196601,2,-10
196701,9,-3
196801,4,-8
196901,5,-7
197001,1,-11
197101,9,-3
197201,21,9
197301,4,-8
197401,48,36
197501,19,7
197601,3,-9
197701,0,-12
197801,0,-12
197901,1,-11
198001,12,0
198101,1,-11
198201,5,-7
198301,3,-9
198401,2,-10
198501,1,-11
198601,4,-8
198701,4,-8
198801,3,-9
198901,25,13
199001,21,9
199101,11,-1
199201,7,-5
199301,19,7
199401,3,-9
199501,9,-3
199601,5,-7
199701,9,-3
199801,16,4
199901,20,8
200001,11,-1
200101,3,-9
200201,14,2
200301,2,-10
200401,6,-6
200501,20,8
200601,26,14
200701,13,1
200801,5,-7
200901,9,-3
201001,2,-10
201101,3,-9
201201,23,11
201301,22,10
201401,1,-11
201501,5,-7
