Tennessee, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,348,5
189608,396,53
189708,339,-4
189808,356,13
189908,423,80
190008,444,101
190108,322,-21
190208,365,22
190308,362,19
190408,328,-15
190508,340,-3
190608,373,30
190708,355,12
190808,339,-4
190908,383,40
191008,312,-31
191108,331,-12
191208,310,-33
191308,403,60
191408,352,9
191508,264,-79
191608,371,28
191708,278,-65
191808,429,86
191908,337,-6
192008,278,-65
192108,344,1
192208,301,-42
192308,340,-3
192408,399,56
192508,362,19
192608,383,40
192708,237,-106
192808,388,45
192908,299,-44
193008,343,0
193108,293,-50
193208,384,41
193308,325,-18
193408,412,69
193508,408,65
193608,452,109
193708,413,70
193808,412,69
193908,328,-15
194008,344,1
194108,398,55
194208,300,-43
194308,431,88
194408,357,14
194508,333,-10
194608,243,-100
194708,442,99
194808,313,-30
194908,319,-24
195008,230,-113
195108,396,53
195208,373,30
195308,354,11
195408,447,104
195508,400,57
195608,367,24
195708,319,-24
195808,321,-22
195908,383,40
196008,370,27
196108,287,-56
196208,349,6
196308,313,-30
196408,295,-48
196508,323,-20
196608,279,-64
196708,211,-132
196808,391,48
196908,294,-49
197008,353,10
197108,285,-58
197208,317,-26
197308,311,-32
197408,298,-45
197508,366,23
197608,253,-90
197708,370,27
197808,354,11
197908,312,-31
198008,457,114
198108,296,-47
198208,291,-52
198308,455,112
198408,312,-31
198508,304,-39
198608,300,-43
198708,418,75
198808,412,69
198908,313,-30
199008,344,1
199108,328,-15
199208,221,-122
199308,382,39
199408,278,-65
199508,449,106
199608,315,-28
199708,290,-53
199808,357,14
199908,373,30
200008,378,35
200108,366,23
200208,398,55
200308,379,36
200408,234,-109
200508,432,89
200608,441,98
200708,547,204
200808,321,-22
200908,309,-34
201008,463,120
201108,400,57
201208,333,-10
201308,304,-39
201408,338,-5
201508,290,-53
