Colorado, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,56,-19
189608,79,4
189708,50,-25
189808,96,21
189908,80,5
190008,82,7
190108,94,19
190208,86,11
190308,73,-2
190408,55,-20
190508,86,11
190608,47,-28
190708,59,-16
190808,45,-30
190908,100,25
191008,64,-11
191108,49,-26
191208,47,-28
191308,106,31
191408,62,-13
191508,17,-58
191608,48,-27
191708,30,-45
191808,68,-7
191908,90,15
192008,24,-51
192108,62,-13
192208,114,39
192308,37,-38
192408,75,0
192508,41,-34
192608,80,5
192708,20,-55
192808,44,-31
192908,82,7
193008,69,-6
193108,75,0
193208,95,20
193308,56,-19
193408,116,41
193508,102,27
193608,109,34
193708,157,82
193808,119,44
193908,69,-6
194008,69,-6
194108,66,-9
194208,68,-7
194308,127,52
194408,90,15
194508,78,3
194608,68,-7
194708,108,33
194808,81,6
194908,69,-6
195008,34,-41
195108,64,-11
195208,88,13
195308,64,-11
195408,86,11
195508,105,30
195608,45,-30
195708,80,5
195808,106,31
195908,98,23
196008,91,16
196108,79,4
196208,78,3
196308,75,0
196408,55,-20
196508,37,-38
196608,49,-26
196708,39,-36
196808,35,-40
196908,123,48
197008,121,46
197108,79,4
197208,56,-19
197308,94,19
197408,33,-42
197508,75,0
197608,58,-17
197708,67,-8
197808,52,-23
197908,46,-29
198008,86,11
198108,54,-21
198208,107,32
198308,150,75
198408,92,17
198508,82,7
198608,75,0
198708,53,-22
198808,110,35
198908,62,-13
199008,62,-13
199108,73,-2
199208,36,-39
199308,49,-26
199408,119,44
199508,153,78
199608,78,3
199708,64,-11
199808,85,10
199908,82,7
200008,153,78
200108,105,30
200208,95,20
200308,137,62
200408,34,-41
200508,68,-7
200608,83,8
200708,148,73
200808,72,-3
200908,58,-17
201008,106,31
201108,165,90
201208,121,46
201308,112,37
201408,64,-11
201508,104,29
