Massachusetts, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,114,-10
189608,126,2
189708,80,-44
189808,156,32
189908,93,-31
190008,143,19
190108,133,9
190208,61,-63
190308,24,-100
190408,72,-52
190508,71,-53
190608,165,41
190708,79,-45
190808,78,-46
190908,78,-46
191008,73,-51
191108,91,-33
191208,63,-61
191308,101,-23
191408,104,-20
191508,72,-52
191608,127,3
191708,169,45
191808,132,8
191908,62,-62
192008,154,30
192108,71,-53
192208,94,-30
192308,69,-55
192408,106,-18
192508,101,-23
192608,107,-17
192708,52,-72
192808,184,60
192908,76,-48
193008,95,-29
193108,137,13
193208,144,20
193308,118,-6
193408,68,-56
193508,129,5
193608,119,-5
193708,223,99
193808,188,64
193908,208,84
194008,69,-55
194108,93,-31
194208,105,-19
194308,111,-13
194408,200,76
194508,103,-21
194608,62,-62
194708,179,55
194808,172,48
194908,194,70
195008,103,-21
195108,104,-20
195208,139,15
195308,112,-12
195408,78,-46
195508,209,85
195608,118,-6
195708,75,-49
195808,122,-2
195908,188,64
196008,125,1
196108,131,7
196208,91,-33
196308,90,-34
196408,43,-81
196508,131,7
196608,134,10
196708,126,2
196808,107,-17
196908,191,67
197008,165,41
197108,149,25
197208,107,-17
197308,222,98
197408,151,27
197508,143,19
197608,112,-12
197708,152,28
197808,151,27
197908,124,0
198008,182,58
198108,116,-8
198208,78,-46
198308,163,39
198408,193,69
198508,118,-6
198608,88,-36
198708,98,-26
198808,228,104
198908,138,14
199008,185,61
199108,185,61
199208,99,-25
199308,180,56
199408,116,-8
199508,156,32
199608,149,25
199708,123,-1
199808,185,61
199908,149,25
200008,110,-14
200108,229,105
200208,226,102
200308,226,102
200408,155,31
200508,242,118
200608,138,14
200708,168,44
200808,112,-12
200908,215,91
201008,184,60
201108,181,57
201208,229,105
201308,133,9
201408,112,-12
201508,224,100
