Arizona, Cooling Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,7,0
189602,12,5
189702,0,-7
189802,14,7
189902,0,-7
190002,6,-1
190102,5,-2
190202,5,-2
190302,0,-7
190402,13,6
190502,6,-1
190602,9,2
190702,14,7
190802,4,-3
190902,4,-3
191002,0,-7
191102,0,-7
191202,5,-2
191302,0,-7
191402,5,-2
191502,0,-7
191602,14,7
191702,4,-3
191802,5,-2
191902,0,-7
192002,8,1
192102,8,1
192202,0,-7
192302,4,-3
192402,9,2
192502,10,3
192602,7,0
192702,9,2
192802,4,-3
192902,0,-7
193002,14,7
193102,7,0
193202,5,-2
193302,0,-7
193402,15,8
193502,8,1
193602,4,-3
193702,0,-7
193802,5,-2
193902,0,-7
194002,6,-1
194102,9,2
194202,0,-7
194302,13,6
194402,0,-7
194502,5,-2
194602,0,-7
194702,11,4
194802,0,-7
194902,0,-7
195002,11,4
195102,5,-2
195202,0,-7
195302,0,-7
195402,24,17
195502,0,-7
195602,0,-7
195702,26,19
195802,9,2
195902,0,-7
196002,0,-7
196102,8,1
196202,6,-1
196302,21,14
196402,0,-7
196502,4,-3
196602,0,-7
196702,8,1
196802,17,10
196902,0,-7
197002,13,6
197102,5,-2
197202,11,4
197302,4,-3
197402,4,-3
197502,0,-7
197602,12,5
197702,10,3
197802,6,-1
197902,4,-3
198002,13,6
198102,11,4
198202,9,2
198302,5,-2
198402,6,-1
198502,4,-3
198602,11,4
198702,6,-1
198802,13,6
198902,9,2
199002,0,-7
199102,24,17
199202,12,5
199302,5,-2
199402,4,-3
199502,24,17
199602,22,15
199702,6,-1
199802,0,-7
199902,12,5
200002,13,6
200102,4,-3
200202,10,3
200302,7,0
200402,0,-7
200502,8,1
200602,13,6
200702,9,2
200802,6,-1
200902,9,2
201002,7,0
201102,0,-7
201202,8,1
201302,0,-7
201402,22,15
201502,33,26
