New Mexico, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,137,-49
189606,275,89
189706,185,-1
189806,179,-7
189906,175,-11
190006,236,50
190106,172,-14
190206,275,89
190306,103,-83
190406,142,-44
190506,193,7
190606,195,9
190706,106,-80
190806,154,-32
190906,199,13
191006,222,36
191106,177,-9
191206,144,-42
191306,119,-67
191406,181,-5
191506,165,-21
191606,201,15
191706,158,-28
191806,237,51
191906,121,-65
192006,139,-47
192106,144,-42
192206,217,31
192306,191,5
192406,265,79
192506,198,12
192606,183,-3
192706,160,-26
192806,184,-2
192906,199,13
193006,205,19
193106,204,18
193206,149,-37
193306,172,-14
193406,200,14
193506,192,6
193606,223,37
193706,168,-18
193806,192,6
193906,212,26
194006,174,-12
194106,108,-78
194206,190,4
194306,188,2
194406,168,-18
194506,135,-51
194606,238,52
194706,167,-19
194806,195,9
194906,171,-15
195006,213,27
195106,169,-17
195206,244,58
195306,257,71
195406,205,19
195506,153,-33
195606,277,91
195706,196,10
195806,256,70
195906,237,51
196006,233,47
196106,209,23
196206,153,-33
196306,167,-19
196406,167,-19
196506,122,-64
196606,164,-22
196706,149,-37
196806,197,11
196906,159,-27
197006,148,-38
197106,186,0
197206,166,-20
197306,137,-49
197406,246,60
197506,155,-31
197606,167,-19
197706,216,30
197806,227,41
197906,127,-59
198006,261,75
198106,249,63
198206,167,-19
198306,129,-57
198406,165,-21
198506,185,-1
198606,164,-22
198706,159,-27
198806,182,-4
198906,200,14
199006,315,129
199106,155,-31
199206,138,-48
199306,189,3
199406,303,117
199506,157,-29
199606,260,74
199706,170,-16
199806,199,13
199906,168,-18
200006,220,34
200106,241,55
200206,304,118
200306,191,5
200406,199,13
200506,205,19
200606,280,94
200706,212,26
200806,255,69
200906,176,-10
201006,269,83
201106,279,93
201206,308,122
201306,317,131
201406,279,93
201506,254,68
