Massachusetts, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,7,2
189605,14,9
189705,4,-1
189805,0,-5
189905,4,-1
190005,0,-5
190105,0,-5
190205,3,-2
190305,7,2
190405,14,9
190505,3,-2
190605,3,-2
190705,0,-5
190805,6,1
190905,0,-5
191005,0,-5
191105,22,17
191205,5,0
191305,0,-5
191405,7,2
191505,0,-5
191605,3,-2
191705,0,-5
191805,23,18
191905,4,-1
192005,0,-5
192105,4,-1
192205,11,6
192305,0,-5
192405,0,-5
192505,0,-5
192605,0,-5
192705,0,-5
192805,0,-5
192905,4,-1
193005,6,1
193105,5,0
193205,4,-1
193305,13,8
193405,10,5
193505,0,-5
193605,11,6
193705,5,0
193805,0,-5
193905,4,-1
194005,0,-5
194105,5,0
194205,16,11
194305,4,-1
194405,26,21
194505,0,-5
194605,0,-5
194705,0,-5
194805,0,-5
194905,5,0
195005,0,-5
195105,4,-1
195205,0,-5
195305,6,1
195405,0,-5
195505,15,10
195605,0,-5
195705,4,-1
195805,0,-5
195905,15,10
196005,6,1
196105,0,-5
196205,0,-5
196305,3,-2
196405,12,7
196505,11,6
196605,0,-5
196705,0,-5
196805,0,-5
196905,3,-2
197005,7,2
197105,0,-5
197205,3,-2
197305,0,-5
197405,0,-5
197505,18,13
197605,0,-5
197705,10,5
197805,4,-1
197905,12,7
198005,4,-1
198105,7,2
198205,6,1
198305,0,-5
198405,0,-5
198505,6,1
198605,7,2
198705,4,-1
198805,4,-1
198905,7,2
199005,0,-5
199105,28,23
199205,3,-2
199305,10,5
199405,0,-5
199505,0,-5
199605,0,-5
199705,0,-5
199805,17,12
199905,6,1
200005,4,-1
200105,9,4
200205,0,-5
200305,0,-5
200405,12,7
200505,0,-5
200605,4,-1
200705,11,6
200805,0,-5
200905,5,0
201005,22,17
201105,11,6
201205,22,17
201305,9,4
201405,8,3
201505,34,29
