Mississippi, Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,5,-9
189601,7,-7
189701,5,-9
189801,23,9
189901,9,-5
190001,8,-6
190101,14,0
190201,6,-8
190301,8,-6
190401,4,-10
190501,2,-12
190601,12,-2
190701,50,36
190801,9,-5
190901,23,9
191001,12,-2
191101,33,19
191201,2,-12
191301,31,17
191401,17,3
191501,6,-8
191601,31,17
191701,23,9
191801,0,-14
191901,7,-7
192001,14,0
192101,24,10
192201,12,-2
192301,32,18
192401,3,-11
192501,12,-2
192601,7,-7
192701,22,8
192801,9,-5
192901,16,2
193001,8,-6
193101,8,-6
193201,30,16
193301,32,18
193401,21,7
193501,16,2
193601,7,-7
193701,54,40
193801,13,-1
193901,22,8
194001,0,-14
194101,15,1
194201,5,-9
194301,13,-1
194401,10,-4
194501,10,-4
194601,11,-3
194701,18,4
194801,1,-13
194901,35,21
195001,84,70
195101,15,1
195201,42,28
195301,23,9
195401,16,2
195501,9,-5
195601,5,-9
195701,20,6
195801,1,-13
195901,5,-9
196001,7,-7
196101,1,-13
196201,4,-10
196301,1,-13
196401,5,-9
196501,15,1
196601,1,-13
196701,10,-4
196801,5,-9
196901,10,-4
197001,1,-13
197101,11,-3
197201,22,8
197301,5,-9
197401,38,24
197501,22,8
197601,5,-9
197701,0,-14
197801,0,-14
197901,1,-13
198001,14,0
198101,1,-13
198201,9,-5
198301,5,-9
198401,1,-13
198501,1,-13
198601,8,-6
198701,6,-8
198801,3,-11
198901,29,15
199001,24,10
199101,10,-4
199201,8,-6
199301,19,5
199401,5,-9
199501,11,-3
199601,9,-5
199701,10,-4
199801,19,5
199901,24,10
200001,16,2
200101,3,-11
200201,16,2
200301,3,-11
200401,10,-4
200501,25,11
200601,30,16
200701,12,-2
200801,7,-7
200901,12,-2
201001,2,-12
201101,5,-9
201201,28,14
201301,22,8
201401,0,-14
201501,8,-6
