South Carolina, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,133,-49
189605,354,172
189705,153,-29
189805,266,84
189905,272,90
190005,183,1
190105,208,26
190205,274,92
190305,186,4
190405,164,-18
190505,254,72
190605,163,-19
190705,163,-19
190805,216,34
190905,153,-29
191005,155,-27
191105,218,36
191205,218,36
191305,196,14
191405,205,23
191505,234,52
191605,258,76
191705,87,-95
191805,215,33
191905,195,13
192005,114,-68
192105,118,-64
192205,186,4
192305,124,-58
192405,124,-58
192505,125,-57
192605,184,2
192705,213,31
192805,124,-58
192905,160,-22
193005,231,49
193105,134,-48
193205,159,-23
193305,319,137
193405,151,-31
193505,195,13
193605,232,50
193705,184,2
193805,226,44
193905,159,-23
194005,129,-53
194105,216,34
194205,197,15
194305,223,41
194405,239,57
194505,120,-62
194605,163,-19
194705,199,17
194805,200,18
194905,192,10
195005,235,53
195105,151,-31
195205,218,36
195305,321,139
195405,92,-90
195505,241,59
195605,216,34
195705,193,11
195805,184,2
195905,241,59
196005,155,-27
196105,111,-71
196205,317,135
196305,154,-28
196405,192,10
196505,280,98
196605,145,-37
196705,120,-62
196805,133,-49
196905,149,-33
197005,189,7
197105,118,-64
197205,106,-76
197305,131,-51
197405,207,25
197505,238,56
197605,108,-74
197705,208,26
197805,149,-33
197905,158,-24
198005,169,-13
198105,124,-58
198205,221,39
198305,149,-33
198405,146,-36
198505,182,0
198605,195,13
198705,219,37
198805,132,-50
198905,115,-67
199005,178,-4
199105,261,79
199205,100,-82
199305,172,-10
199405,119,-63
199505,220,38
199605,224,42
199705,94,-88
199805,247,65
199905,136,-46
200005,260,78
200105,189,7
200205,140,-42
200305,176,-6
200405,283,101
200505,117,-65
200605,145,-37
200705,150,-32
200805,149,-33
200905,195,13
201005,257,75
201105,205,23
201205,244,62
201305,124,-58
201405,215,33
201505,212,30
