Kansas, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,237,59
189609,110,-68
189709,263,85
189809,185,7
189909,152,-26
190009,200,22
190109,162,-16
190209,76,-102
190309,126,-52
190409,186,8
190509,207,29
190609,191,13
190709,174,-4
190809,180,2
190909,184,6
191009,186,8
191109,294,116
191209,121,-57
191309,151,-27
191409,225,47
191509,170,-8
191609,144,-34
191709,154,-24
191809,77,-101
191909,233,55
192009,173,-5
192109,278,100
192209,241,63
192309,184,6
192409,102,-76
192509,258,80
192609,167,-11
192709,179,1
192809,136,-42
192909,138,-40
193009,219,41
193109,381,203
193209,153,-25
193309,283,105
193409,111,-67
193509,156,-22
193609,247,69
193709,199,21
193809,226,48
193909,326,148
194009,176,-2
194109,207,29
194209,125,-53
194309,126,-52
194409,163,-15
194509,172,-6
194609,155,-23
194709,281,103
194809,217,39
194909,90,-88
195009,122,-56
195109,99,-79
195209,202,24
195309,243,65
195409,318,140
195509,238,60
195609,258,80
195709,107,-71
195809,183,5
195909,163,-15
196009,207,29
196109,99,-79
196209,122,-56
196309,221,43
196409,164,-14
196509,132,-46
196609,119,-59
196709,103,-75
196809,139,-39
196909,182,4
197009,163,-15
197109,181,3
197209,183,5
197309,123,-55
197409,57,-121
197509,99,-79
197609,165,-13
197709,197,19
197809,270,92
197909,186,8
198009,229,51
198109,174,-4
198209,166,-12
198309,219,41
198409,147,-31
198509,144,-34
198609,220,42
198709,148,-30
198809,181,3
198909,90,-88
199009,243,65
199109,163,-15
199209,152,-26
199309,89,-89
199409,147,-31
199509,123,-55
199609,107,-71
199709,192,14
199809,315,137
199909,113,-65
200009,235,57
200109,147,-31
200209,226,48
200309,102,-76
200409,211,33
200509,247,69
200609,104,-74
200709,211,33
200809,127,-51
200909,111,-67
201009,209,31
201109,125,-53
201209,161,-17
201309,238,60
201409,159,-19
201509,288,110
