California, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,86,-3
189606,132,43
189706,93,4
189806,98,9
189906,84,-5
190006,113,24
190106,81,-8
190206,96,7
190306,93,4
190406,100,11
190506,56,-33
190606,65,-24
190706,44,-45
190806,38,-51
190906,71,-18
191006,58,-31
191106,53,-36
191206,70,-19
191306,48,-41
191406,66,-23
191506,81,-8
191606,58,-31
191706,113,24
191806,178,89
191906,93,4
192006,73,-16
192106,93,4
192206,105,16
192306,30,-59
192406,111,22
192506,100,11
192606,140,51
192706,76,-13
192806,84,-5
192906,87,-2
193006,94,5
193106,92,3
193206,86,-3
193306,60,-29
193406,52,-37
193506,108,19
193606,113,24
193706,95,6
193806,87,-2
193906,85,-4
194006,132,43
194106,62,-27
194206,74,-15
194306,47,-42
194406,34,-55
194506,72,-17
194606,85,-4
194706,85,-4
194806,69,-20
194906,108,19
195006,64,-25
195106,75,-14
195206,36,-53
195306,44,-45
195406,65,-24
195506,62,-27
195606,95,6
195706,146,57
195806,86,-3
195906,128,39
196006,157,68
196106,141,52
196206,77,-12
196306,54,-35
196406,60,-29
196506,36,-53
196606,100,11
196706,49,-40
196806,104,15
196906,61,-28
197006,98,9
197106,69,-20
197206,112,23
197306,139,50
197406,120,31
197506,72,-17
197606,104,15
197706,117,28
197806,109,20
197906,119,30
198006,62,-27
198106,207,118
198206,52,-37
198306,82,-7
198406,100,11
198506,149,60
198606,127,38
198706,121,32
198806,83,-6
198906,105,16
199006,125,36
199106,58,-31
199206,101,12
199306,112,23
199406,144,55
199506,68,-21
199606,128,39
199706,101,12
199806,52,-37
199906,77,-12
200006,158,69
200106,155,66
200206,126,37
200306,116,27
200406,115,26
200506,70,-19
200606,193,104
200706,124,35
200806,157,68
200906,79,-10
201006,100,11
201106,72,-17
201206,108,19
201306,161,72
201406,150,61
201506,201,112
