Utah, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,124,-5
189608,101,-28
189708,135,6
189808,175,46
189908,54,-75
190008,86,-43
190108,158,29
190208,104,-25
190308,143,14
190408,107,-22
190508,136,7
190608,87,-42
190708,74,-55
190808,72,-57
190908,139,10
191008,109,-20
191108,118,-11
191208,74,-55
191308,133,4
191408,126,-3
191508,143,14
191608,85,-44
191708,102,-27
191808,80,-49
191908,163,34
192008,102,-27
192108,108,-21
192208,148,19
192308,85,-44
192408,105,-24
192508,85,-44
192608,123,-6
192708,86,-43
192808,102,-27
192908,157,28
193008,118,-11
193108,160,31
193208,125,-4
193308,114,-15
193408,182,53
193508,151,22
193608,142,13
193708,164,35
193808,134,5
193908,150,21
194008,188,59
194108,98,-31
194208,133,4
194308,147,18
194408,123,-6
194508,118,-11
194608,147,18
194708,106,-23
194808,130,1
194908,133,4
195008,99,-30
195108,100,-29
195208,148,19
195308,130,1
195408,104,-25
195508,155,26
195608,86,-43
195708,146,17
195808,186,57
195908,115,-14
196008,108,-21
196108,161,32
196208,113,-16
196308,163,34
196408,102,-27
196508,79,-50
196608,124,-5
196708,169,40
196808,47,-82
196908,187,58
197008,176,47
197108,159,30
197208,112,-17
197308,132,3
197408,96,-33
197508,82,-47
197608,76,-53
197708,126,-3
197808,93,-36
197908,109,-20
198008,102,-27
198108,164,35
198208,168,39
198308,150,21
198408,132,3
198508,123,-6
198608,173,44
198708,102,-27
198808,143,14
198908,116,-13
199008,136,7
199108,165,36
199208,161,32
199308,85,-44
199408,211,82
199508,171,42
199608,167,38
199708,157,28
199808,169,40
199908,143,14
200008,213,84
200108,214,85
200208,147,18
200308,209,80
200408,105,-24
200508,133,4
200608,136,7
200708,208,79
200808,166,37
200908,120,-9
201008,128,-1
201108,190,61
201208,217,88
201308,177,48
201408,94,-35
201508,157,28
