Iowa, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,175,7
189606,174,6
189706,147,-21
189806,201,33
189906,187,19
190006,157,-11
190106,226,58
190206,85,-83
190306,74,-94
190406,119,-49
190506,173,5
190606,133,-35
190706,104,-64
190806,118,-50
190906,153,-15
191006,159,-9
191106,303,135
191206,106,-62
191306,203,35
191406,221,53
191506,84,-84
191606,75,-93
191706,100,-68
191806,182,14
191906,217,49
192006,184,16
192106,283,115
192206,213,45
192306,195,27
192406,106,-62
192506,175,7
192606,92,-76
192706,101,-67
192806,74,-94
192906,118,-50
193006,148,-20
193106,289,121
193206,213,45
193306,361,193
193406,361,193
193506,92,-76
193606,162,-6
193706,145,-23
193806,148,-20
193906,198,30
194006,201,33
194106,168,0
194206,162,-6
194306,202,34
194406,207,39
194506,69,-99
194606,158,-10
194706,96,-72
194806,135,-33
194906,223,55
195006,131,-37
195106,85,-83
195206,261,93
195306,231,63
195406,233,65
195506,108,-60
195606,270,102
195706,144,-24
195806,93,-75
195906,195,27
196006,115,-53
196106,151,-17
196206,146,-22
196306,243,75
196406,166,-2
196506,142,-26
196606,150,-18
196706,148,-20
196806,192,24
196906,79,-89
197006,175,7
197106,288,120
197206,139,-29
197306,198,30
197406,111,-57
197506,168,0
197606,163,-5
197706,196,28
197806,174,6
197906,159,-9
198006,164,-4
198106,183,15
198206,81,-87
198306,178,10
198406,194,26
198506,113,-55
198606,207,39
198706,251,83
198806,267,99
198906,132,-36
199006,182,14
199106,257,89
199206,131,-37
199306,121,-47
199406,199,31
199506,184,16
199606,167,-1
199706,187,19
199806,125,-43
199906,161,-7
200006,133,-35
200106,142,-26
200206,232,64
200306,125,-43
200406,124,-44
200506,250,82
200606,176,8
200706,188,20
200806,168,0
200906,161,-7
201006,204,36
201106,171,3
201206,211,43
201306,159,-9
201406,186,18
201506,163,-5
