South Carolina, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,444,23
189608,479,58
189708,411,-10
189808,441,20
189908,506,85
190008,554,133
190108,422,1
190208,421,0
190308,469,48
190408,379,-42
190508,375,-46
190608,472,51
190708,423,2
190808,404,-17
190908,413,-8
191008,407,-14
191108,439,18
191208,425,4
191308,412,-9
191408,417,-4
191508,402,-19
191608,440,19
191708,403,-18
191808,450,29
191908,401,-20
192008,387,-34
192108,405,-16
192208,348,-73
192308,435,14
192408,469,48
192508,452,31
192608,485,64
192708,348,-73
192808,442,21
192908,416,-5
193008,377,-44
193108,416,-5
193208,423,2
193308,435,14
193408,461,40
193508,437,16
193608,453,32
193708,423,2
193808,487,66
193908,406,-15
194008,408,-13
194108,464,43
194208,405,-16
194308,466,45
194408,382,-39
194508,386,-35
194608,364,-57
194708,432,11
194808,387,-34
194908,407,-14
195008,376,-45
195108,474,53
195208,416,-5
195308,427,6
195408,522,101
195508,468,47
195608,460,39
195708,397,-24
195808,448,27
195908,461,40
196008,439,18
196108,380,-41
196208,412,-9
196308,432,11
196408,367,-54
196508,426,5
196608,388,-33
196708,348,-73
196808,480,59
196908,338,-83
197008,427,6
197108,386,-35
197208,398,-23
197308,404,-17
197408,381,-40
197508,452,31
197608,354,-67
197708,427,6
197808,444,23
197908,425,4
198008,500,79
198108,353,-68
198208,389,-32
198308,498,77
198408,412,-9
198508,375,-46
198608,402,-19
198708,512,91
198808,483,62
198908,397,-24
199008,459,38
199108,408,-13
199208,366,-55
199308,456,35
199408,366,-55
199508,468,47
199608,387,-34
199708,382,-39
199808,444,23
199908,528,107
200008,424,3
200108,459,38
200208,453,32
200308,451,30
200408,369,-52
200508,477,56
200608,494,73
200708,588,167
200808,436,15
200908,462,41
201008,512,91
201108,506,85
201208,399,-22
201308,379,-42
201408,407,-14
201508,444,23
