Utah, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,1,0
189604,0,-1
189704,1,0
189804,3,2
189904,1,0
190004,0,-1
190104,1,0
190204,2,1
190304,1,0
190404,1,0
190504,1,0
190604,1,0
190704,2,1
190804,1,0
190904,1,0
191004,2,1
191104,0,-1
191204,0,-1
191304,1,0
191404,1,0
191504,4,3
191604,1,0
191704,0,-1
191804,1,0
191904,1,0
192004,0,-1
192104,0,-1
192204,0,-1
192304,1,0
192404,1,0
192504,1,0
192604,1,0
192704,1,0
192804,1,0
192904,0,-1
193004,6,5
193104,1,0
193204,1,0
193304,0,-1
193404,7,6
193504,1,0
193604,2,1
193704,1,0
193804,1,0
193904,2,1
194004,1,0
194104,0,-1
194204,1,0
194304,6,5
194404,0,-1
194504,0,-1
194604,3,2
194704,1,0
194804,1,0
194904,2,1
195004,1,0
195104,1,0
195204,1,0
195304,1,0
195404,2,1
195504,0,-1
195604,1,0
195704,0,-1
195804,0,-1
195904,2,1
196004,1,0
196104,1,0
196204,3,2
196304,0,-1
196404,0,-1
196504,0,-1
196604,1,0
196704,0,-1
196804,0,-1
196904,1,0
197004,0,-1
197104,1,0
197204,1,0
197304,0,-1
197404,1,0
197504,0,-1
197604,0,-1
197704,2,1
197804,0,-1
197904,1,0
198004,1,0
198104,2,1
198204,0,-1
198304,0,-1
198404,0,-1
198504,2,1
198604,1,0
198704,5,4
198804,1,0
198904,4,3
199004,2,1
199104,0,-1
199204,7,6
199304,1,0
199404,1,0
199504,0,-1
199604,1,0
199704,1,0
199804,0,-1
199904,0,-1
200004,3,2
200104,1,0
200204,3,2
200304,0,-1
200404,1,0
200504,1,0
200604,1,0
200704,2,1
200804,1,0
200904,1,0
201004,0,-1
201104,1,0
201204,2,1
201304,1,0
201404,1,0
201504,1,0
