Indiana, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,149,57
189609,45,-47
189709,136,44
189809,142,50
189909,77,-15
190009,150,58
190109,83,-9
190209,49,-43
190309,82,-10
190409,91,-1
190509,97,5
190609,149,57
190709,65,-27
190809,150,58
190909,49,-43
191009,89,-3
191109,132,40
191209,107,15
191309,77,-15
191409,76,-16
191509,109,17
191609,66,-26
191709,57,-35
191809,13,-79
191909,131,39
192009,118,26
192109,172,80
192209,153,61
192309,88,-4
192409,29,-63
192509,211,119
192609,103,11
192709,156,64
192809,34,-58
192909,76,-16
193009,110,18
193109,182,90
193209,72,-20
193309,190,98
193409,85,-7
193509,77,-15
193609,153,61
193709,56,-36
193809,107,15
193909,181,89
194009,60,-32
194109,153,61
194209,62,-30
194309,38,-54
194409,89,-3
194509,108,16
194609,86,-6
194709,98,6
194809,109,17
194909,22,-70
195009,60,-32
195109,50,-42
195209,73,-19
195309,98,6
195409,138,46
195509,120,28
195609,58,-34
195709,66,-26
195809,78,-14
195909,124,32
196009,151,59
196109,152,60
196209,42,-50
196309,68,-24
196409,84,-8
196509,100,8
196609,49,-43
196709,44,-48
196809,77,-15
196909,69,-23
197009,135,43
197109,131,39
197209,106,14
197309,125,33
197409,27,-65
197509,32,-60
197609,44,-48
197709,118,26
197809,145,53
197909,72,-20
198009,110,18
198109,58,-34
198209,61,-31
198309,99,7
198409,57,-35
198509,95,3
198609,133,41
198709,102,10
198809,84,-8
198909,51,-41
199009,95,3
199109,82,-10
199209,58,-34
199309,34,-58
199409,68,-24
199509,52,-40
199609,61,-31
199709,73,-19
199809,158,66
199909,86,-6
200009,68,-24
200109,57,-35
200209,148,56
200309,55,-37
200409,113,21
200509,149,57
200609,44,-48
200709,145,53
200809,118,26
200909,84,-8
201009,112,20
201109,57,-35
201209,64,-28
201309,106,14
201409,62,-30
201509,142,50
