Indiana, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,2,1
189604,17,16
189704,0,-1
189804,0,-1
189904,1,0
190004,0,-1
190104,0,-1
190204,0,-1
190304,0,-1
190404,0,-1
190504,0,-1
190604,2,1
190704,0,-1
190804,1,0
190904,0,-1
191004,0,-1
191104,0,-1
191204,2,1
191304,0,-1
191404,0,-1
191504,9,8
191604,0,-1
191704,0,-1
191804,0,-1
191904,1,0
192004,0,-1
192104,4,3
192204,2,1
192304,0,-1
192404,1,0
192504,9,8
192604,0,-1
192704,1,0
192804,0,-1
192904,3,2
193004,2,1
193104,0,-1
193204,0,-1
193304,0,-1
193404,0,-1
193504,0,-1
193604,0,-1
193704,0,-1
193804,2,1
193904,0,-1
194004,0,-1
194104,9,8
194204,5,4
194304,0,-1
194404,0,-1
194504,1,0
194604,2,1
194704,1,0
194804,5,4
194904,0,-1
195004,0,-1
195104,0,-1
195204,0,-1
195304,0,-1
195404,10,9
195504,13,12
195604,0,-1
195704,2,1
195804,0,-1
195904,1,0
196004,5,4
196104,0,-1
196204,0,-1
196304,2,1
196404,2,1
196504,1,0
196604,0,-1
196704,2,1
196804,1,0
196904,1,0
197004,2,1
197104,0,-1
197204,0,-1
197304,0,-1
197404,1,0
197504,0,-1
197604,1,0
197704,10,9
197804,1,0
197904,0,-1
198004,0,-1
198104,8,7
198204,0,-1
198304,0,-1
198404,0,-1
198504,11,10
198604,2,1
198704,0,-1
198804,0,-1
198904,0,-1
199004,0,-1
199104,6,5
199204,0,-1
199304,0,-1
199404,1,0
199504,1,0
199604,0,-1
199704,0,-1
199804,0,-1
199904,2,1
200004,0,-1
200104,12,11
200204,2,1
200304,2,1
200404,2,1
200504,4,3
200604,9,8
200704,0,-1
200804,1,0
200904,1,0
201004,14,13
201104,2,1
201204,2,1
201304,0,-1
201404,2,1
201504,2,1
