Arkansas, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,340,3
189606,362,25
189706,370,33
189806,395,58
189906,350,13
190006,335,-2
190106,406,69
190206,362,25
190306,166,-171
190406,292,-45
190506,366,29
190606,317,-20
190706,282,-55
190806,317,-20
190906,334,-3
191006,256,-81
191106,458,121
191206,234,-103
191306,346,9
191406,495,158
191506,300,-37
191606,286,-51
191706,283,-54
191806,435,98
191906,331,-6
192006,268,-69
192106,381,44
192206,376,39
192306,330,-7
192406,382,45
192506,485,148
192606,315,-22
192706,301,-36
192806,241,-96
192906,312,-25
193006,316,-21
193106,375,38
193206,386,49
193306,378,41
193406,461,124
193506,263,-74
193606,435,98
193706,386,49
193806,302,-35
193906,368,31
194006,293,-44
194106,316,-21
194206,349,12
194306,427,90
194406,409,72
194506,293,-44
194606,305,-32
194706,338,1
194806,366,29
194906,372,35
195006,326,-11
195106,314,-23
195206,497,160
195306,539,202
195406,425,88
195506,224,-113
195606,317,-20
195706,330,-7
195806,320,-17
195906,293,-44
196006,314,-23
196106,244,-93
196206,303,-34
196306,372,35
196406,362,25
196506,314,-23
196606,293,-44
196706,338,1
196806,343,6
196906,306,-31
197006,308,-29
197106,399,62
197206,335,-2
197306,316,-21
197406,211,-126
197506,311,-26
197606,233,-104
197706,403,66
197806,326,-11
197906,279,-58
198006,383,46
198106,376,39
198206,250,-87
198306,265,-72
198406,370,33
198506,321,-16
198606,368,31
198706,346,9
198806,341,4
198906,263,-74
199006,380,43
199106,375,38
199206,260,-77
199306,328,-9
199406,407,70
199506,277,-60
199606,329,-8
199706,271,-66
199806,434,97
199906,331,-6
200006,290,-47
200106,309,-28
200206,339,2
200306,235,-102
200406,313,-24
200506,366,29
200606,330,-7
200706,351,14
200806,367,30
200906,402,65
201006,485,148
201106,491,154
201206,387,50
201306,355,18
201406,339,2
201506,386,49
