Arizona, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,99,12
189604,61,-26
189704,97,10
189804,141,54
189904,93,6
190004,41,-46
190104,51,-36
190204,105,18
190304,60,-27
190404,93,6
190504,53,-34
190604,56,-31
190704,99,12
190804,96,9
190904,80,-7
191004,119,32
191104,79,-8
191204,38,-49
191304,75,-12
191404,101,14
191504,68,-19
191604,94,7
191704,52,-35
191804,75,-12
191904,101,14
192004,35,-52
192104,59,-28
192204,33,-54
192304,66,-21
192404,45,-42
192504,90,3
192604,90,3
192704,71,-16
192804,71,-16
192904,51,-36
193004,125,38
193104,116,29
193204,74,-13
193304,36,-51
193404,164,77
193504,80,-7
193604,126,39
193704,70,-17
193804,86,-1
193904,123,36
194004,107,20
194104,24,-63
194204,63,-24
194304,132,45
194404,44,-43
194504,59,-28
194604,167,80
194704,80,-7
194804,102,15
194904,113,26
195004,142,55
195104,75,-12
195204,74,-13
195304,70,-17
195404,155,68
195504,59,-28
195604,70,-17
195704,71,-16
195804,68,-19
195904,154,67
196004,104,17
196104,101,14
196204,163,76
196304,55,-32
196404,61,-26
196504,65,-22
196604,111,24
196704,32,-55
196804,64,-23
196904,97,10
197004,39,-48
197104,66,-21
197204,104,17
197304,51,-36
197404,87,0
197504,21,-66
197604,60,-27
197704,102,15
197804,69,-18
197904,79,-8
198004,80,-7
198104,140,53
198204,90,3
198304,33,-54
198404,71,-16
198504,141,54
198604,117,30
198704,162,75
198804,93,6
198904,219,132
199004,132,45
199104,70,-17
199204,146,59
199304,110,23
199404,112,25
199504,64,-23
199604,140,53
199704,92,5
199804,41,-46
199904,46,-41
200004,164,77
200104,93,6
200204,165,78
200304,71,-16
200404,110,23
200504,94,7
200604,108,21
200704,119,32
200804,112,25
200904,93,6
201004,76,-11
201104,133,46
201204,142,55
201304,129,42
201404,131,44
201504,113,26
