Kentucky, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,228,77
189609,117,-34
189709,191,40
189809,228,77
189909,129,-22
190009,265,114
190109,121,-30
190209,105,-46
190309,139,-12
190409,174,23
190509,158,7
190609,231,80
190709,143,-8
190809,194,43
190909,117,-34
191009,191,40
191109,263,112
191209,188,37
191309,153,2
191409,117,-34
191509,180,29
191609,103,-48
191709,111,-40
191809,42,-109
191909,180,29
192009,169,18
192109,278,127
192209,209,58
192309,148,-3
192409,73,-78
192509,333,182
192609,226,75
192709,201,50
192809,72,-79
192909,143,-8
193009,211,60
193109,277,126
193209,149,-2
193309,267,116
193409,146,-5
193509,127,-24
193609,257,106
193709,111,-40
193809,158,7
193909,272,121
194009,98,-53
194109,226,75
194209,122,-29
194309,95,-56
194409,132,-19
194509,221,70
194609,131,-20
194709,162,11
194809,147,-4
194909,66,-85
195009,96,-55
195109,111,-40
195209,118,-33
195309,156,5
195409,224,73
195509,216,65
195609,97,-54
195709,150,-1
195809,128,-23
195909,182,31
196009,177,26
196109,189,38
196209,83,-68
196309,104,-47
196409,130,-21
196509,160,9
196609,91,-60
196709,66,-85
196809,116,-35
196909,109,-42
197009,239,88
197109,187,36
197209,193,42
197309,203,52
197409,58,-93
197509,69,-82
197609,76,-75
197709,187,36
197809,196,45
197909,108,-43
198009,200,49
198109,93,-58
198209,92,-59
198309,157,6
198409,101,-50
198509,123,-28
198609,195,44
198709,146,-5
198809,126,-25
198909,113,-38
199009,152,1
199109,146,-5
199209,113,-38
199309,107,-44
199409,91,-60
199509,108,-43
199609,103,-48
199709,120,-31
199809,252,101
199909,138,-13
200009,117,-34
200109,103,-48
200209,218,67
200309,100,-51
200409,147,-4
200509,208,57
200609,80,-71
200709,223,72
200809,201,50
200909,153,2
201009,176,25
201109,111,-40
201209,121,-30
201309,157,6
201409,135,-16
201509,182,31
