New Mexico, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,37,-7
189605,86,42
189705,74,30
189805,45,1
189905,34,-10
190005,59,15
190105,54,10
190205,49,5
190305,30,-14
190405,43,-1
190505,34,-10
190605,37,-7
190705,10,-34
190805,20,-24
190905,20,-24
191005,65,21
191105,47,3
191205,37,-7
191305,46,2
191405,40,-4
191505,17,-27
191605,37,-7
191705,5,-39
191805,28,-16
191905,39,-5
192005,42,-2
192105,40,-4
192205,52,8
192305,53,9
192405,40,-4
192505,72,28
192605,27,-17
192705,75,31
192805,40,-4
192905,32,-12
193005,21,-23
193105,31,-13
193205,33,-11
193305,19,-25
193405,102,58
193505,15,-29
193605,59,15
193705,55,11
193805,38,-6
193905,59,15
194005,53,9
194105,45,1
194205,34,-10
194305,57,13
194405,32,-12
194505,53,9
194605,31,-13
194705,66,22
194805,59,15
194905,43,-1
195005,39,-5
195105,50,6
195205,49,5
195305,16,-28
195405,53,9
195505,32,-12
195605,77,33
195705,20,-24
195805,66,22
195905,44,0
196005,35,-9
196105,54,10
196205,49,5
196305,74,30
196405,53,9
196505,33,-11
196605,63,19
196705,29,-15
196805,34,-10
196905,48,4
197005,43,-1
197105,27,-17
197205,32,-12
197305,25,-19
197405,82,38
197505,16,-28
197605,28,-16
197705,35,-9
197805,38,-6
197905,25,-19
198005,23,-21
198105,42,-2
198205,28,-16
198305,19,-25
198405,98,54
198505,45,1
198605,41,-3
198705,26,-18
198805,37,-7
198905,88,44
199005,40,-4
199105,50,6
199205,30,-14
199305,48,4
199405,54,10
199505,35,-9
199605,137,93
199705,65,21
199805,58,14
199905,46,2
200005,129,85
200105,81,37
200205,71,27
200305,81,37
200405,75,31
200505,62,18
200605,112,68
200705,39,-5
200805,46,2
200905,91,47
201005,41,-3
201105,39,-5
201205,77,33
201305,60,16
201405,39,-5
201505,28,-16
