Arkansas, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,335,91
189609,242,-2
189709,315,71
189809,289,45
189909,205,-39
190009,355,111
190109,219,-25
190209,130,-114
190309,169,-75
190409,279,35
190509,261,17
190609,306,62
190709,250,6
190809,248,4
190909,274,30
191009,328,84
191109,390,146
191209,270,26
191309,196,-48
191409,258,14
191509,270,26
191609,213,-31
191709,203,-41
191809,110,-134
191909,272,28
192009,277,33
192109,415,171
192209,307,63
192309,222,-22
192409,148,-96
192509,428,184
192609,327,83
192709,291,47
192809,172,-72
192909,239,-5
193009,299,55
193109,372,128
193209,248,4
193309,376,132
193409,193,-51
193509,218,-26
193609,388,144
193709,219,-25
193809,300,56
193909,422,178
194009,188,-56
194109,298,54
194209,195,-49
194309,199,-45
194409,254,10
194509,262,18
194609,215,-29
194709,302,58
194809,227,-17
194909,146,-98
195009,168,-76
195109,211,-33
195209,205,-39
195309,282,38
195409,352,108
195509,300,56
195609,225,-19
195709,174,-70
195809,244,0
195909,255,11
196009,285,41
196109,214,-30
196209,199,-45
196309,239,-5
196409,209,-35
196509,237,-7
196609,167,-77
196709,138,-106
196809,157,-87
196909,221,-23
197009,307,63
197109,277,33
197209,306,62
197309,258,14
197409,97,-147
197509,136,-108
197609,172,-72
197709,306,62
197809,292,48
197909,166,-78
198009,344,100
198109,189,-55
198209,196,-48
198309,247,3
198409,176,-68
198509,208,-36
198609,304,60
198709,221,-23
198809,249,5
198909,152,-92
199009,310,66
199109,205,-39
199209,183,-61
199309,184,-60
199409,176,-68
199509,169,-75
199609,172,-72
199709,250,6
199809,382,138
199909,218,-26
200009,267,23
200109,192,-52
200209,301,57
200309,175,-69
200409,243,-1
200509,354,110
200609,163,-81
200709,273,29
200809,196,-48
200909,199,-45
201009,287,43
201109,174,-70
201209,259,15
201309,307,63
201409,233,-11
201509,295,51
