Kansas, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,112,19
189605,179,86
189705,76,-17
189805,77,-16
189905,137,44
190005,110,17
190105,74,-19
190205,158,65
190305,63,-30
190405,62,-31
190505,80,-13
190605,106,13
190705,24,-69
190805,82,-11
190905,61,-32
191005,36,-57
191105,129,36
191205,134,41
191305,127,34
191405,93,0
191505,45,-48
191605,91,-2
191705,19,-74
191805,146,53
191905,55,-38
192005,79,-14
192105,114,21
192205,97,4
192305,54,-39
192405,25,-68
192505,62,-31
192605,125,32
192705,100,7
192805,103,10
192905,46,-47
193005,72,-21
193105,42,-51
193205,104,11
193305,100,7
193405,162,69
193505,33,-60
193605,151,58
193705,123,30
193805,79,-14
193905,158,65
194005,80,-13
194105,157,64
194205,74,-19
194305,50,-43
194405,133,40
194505,51,-42
194605,46,-47
194705,47,-46
194805,96,3
194905,125,32
195005,98,5
195105,90,-3
195205,95,2
195305,84,-9
195405,35,-58
195505,128,35
195605,175,82
195705,68,-25
195805,122,29
195905,129,36
196005,74,-19
196105,51,-42
196205,258,165
196305,126,33
196405,160,67
196505,151,58
196605,93,0
196705,54,-39
196805,39,-54
196905,104,11
197005,159,66
197105,63,-30
197205,79,-14
197305,60,-33
197405,140,47
197505,105,12
197605,40,-53
197705,165,72
197805,67,-26
197905,69,-24
198005,86,-7
198105,49,-44
198205,102,9
198305,43,-50
198405,62,-31
198505,120,27
198605,103,10
198705,162,69
198805,138,45
198905,91,-2
199005,48,-45
199105,152,59
199205,69,-24
199305,68,-25
199405,95,2
199505,26,-67
199605,125,32
199705,48,-45
199805,174,81
199905,84,-9
200005,137,44
200105,122,29
200205,63,-30
200305,78,-15
200405,139,46
200505,96,3
200605,117,24
200705,129,36
200805,82,-11
200905,82,-11
201005,76,-17
201105,77,-16
201205,195,102
201305,76,-17
201405,114,21
201505,69,-24
