Minnesota, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,23,0
189605,52,29
189705,13,-10
189805,16,-7
189905,14,-9
190005,37,14
190105,27,4
190205,29,6
190305,22,-1
190405,15,-8
190505,6,-17
190605,12,-11
190705,0,-23
190805,13,-10
190905,10,-13
191005,5,-18
191105,46,23
191205,19,-4
191305,10,-13
191405,29,6
191505,4,-19
191605,12,-11
191705,5,-18
191805,26,3
191905,16,-7
192005,17,-6
192105,27,4
192205,49,26
192305,20,-3
192405,1,-22
192505,9,-14
192605,40,17
192705,6,-17
192805,31,8
192905,5,-18
193005,18,-5
193105,12,-11
193205,23,0
193305,18,-5
193405,95,72
193505,7,-16
193605,50,27
193705,24,1
193805,11,-12
193905,53,30
194005,13,-10
194105,52,29
194205,10,-13
194305,10,-13
194405,35,12
194505,3,-20
194605,9,-14
194705,4,-19
194805,17,-6
194905,34,11
195005,10,-13
195105,37,14
195205,19,-4
195305,17,-6
195405,4,-19
195505,47,24
195605,17,-6
195705,14,-9
195805,27,4
195905,30,7
196005,17,-6
196105,11,-12
196205,36,13
196305,14,-9
196405,44,21
196505,27,4
196605,8,-15
196705,4,-19
196805,9,-14
196905,26,3
197005,19,-4
197105,11,-12
197205,39,16
197305,12,-11
197405,9,-14
197505,38,15
197605,17,-6
197705,104,81
197805,33,10
197905,6,-17
198005,42,19
198105,16,-7
198205,38,15
198305,8,-15
198405,13,-10
198505,47,24
198605,27,4
198705,52,29
198805,75,52
198905,20,-3
199005,12,-11
199105,42,19
199205,33,10
199305,15,-8
199405,32,9
199505,13,-10
199605,9,-14
199705,4,-19
199805,68,45
199905,32,9
200005,31,8
200105,29,6
200205,5,-18
200305,17,-6
200405,11,-12
200505,11,-12
200605,31,8
200705,50,27
200805,11,-12
200905,19,-4
201005,26,3
201105,16,-7
201205,48,25
201305,14,-9
201405,18,-5
201505,19,-4
