Kentucky, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,75,-18
189605,201,108
189705,41,-52
189805,128,35
189905,144,51
190005,108,15
190105,72,-21
190205,169,76
190305,142,49
190405,86,-7
190505,137,44
190605,103,10
190705,42,-51
190805,114,21
190905,72,-21
191005,40,-53
191105,163,70
191205,113,20
191305,102,9
191405,107,14
191505,90,-3
191605,125,32
191705,22,-71
191805,157,64
191905,68,-25
192005,72,-21
192105,93,0
192205,131,38
192305,69,-24
192405,28,-65
192505,37,-56
192605,100,7
192705,94,1
192805,59,-34
192905,71,-22
193005,112,19
193105,56,-37
193205,92,-1
193305,152,59
193405,132,39
193505,63,-30
193605,149,56
193705,88,-5
193805,98,5
193905,111,18
194005,48,-45
194105,131,38
194205,98,5
194305,126,33
194405,188,95
194505,44,-49
194605,68,-25
194705,56,-37
194805,73,-20
194905,110,17
195005,112,19
195105,93,0
195205,95,2
195305,146,53
195405,33,-60
195505,123,30
195605,109,16
195705,105,12
195805,82,-11
195905,152,59
196005,50,-43
196105,34,-59
196205,212,119
196305,66,-27
196405,117,24
196505,163,70
196605,52,-41
196705,47,-46
196805,60,-33
196905,94,1
197005,120,27
197105,36,-57
197205,82,-11
197305,36,-57
197405,91,-2
197505,128,35
197605,36,-57
197705,147,54
197805,56,-37
197905,59,-34
198005,83,-10
198105,39,-54
198205,157,64
198305,45,-48
198405,44,-49
198505,102,9
198605,112,19
198705,179,86
198805,78,-15
198905,42,-51
199005,55,-38
199105,191,98
199205,54,-39
199305,88,-5
199405,36,-57
199505,78,-15
199605,123,30
199705,29,-64
199805,147,54
199905,98,5
200005,131,38
200105,119,26
200205,58,-35
200305,86,-7
200405,173,80
200505,53,-40
200605,64,-29
200705,146,53
200805,54,-39
200905,96,3
201005,138,45
201105,86,-7
201205,178,85
201305,100,7
201405,115,22
201505,137,44
