Minnesota, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,100,-18
189608,108,-10
189708,61,-57
189808,89,-29
189908,129,11
190008,248,130
190108,140,22
190208,66,-52
190308,44,-74
190408,58,-60
190508,126,8
190608,128,10
190708,85,-33
190808,77,-41
190908,186,68
191008,85,-33
191108,62,-56
191208,57,-61
191308,146,28
191408,87,-31
191508,50,-68
191608,127,9
191708,60,-58
191808,125,7
191908,93,-25
192008,92,-26
192108,114,-4
192208,162,44
192308,68,-50
192408,76,-42
192508,147,29
192608,100,-18
192708,49,-69
192808,107,-11
192908,113,-5
193008,172,54
193108,110,-8
193208,139,21
193308,99,-19
193408,87,-31
193508,134,16
193608,176,58
193708,246,128
193808,186,68
193908,125,7
194008,85,-33
194108,134,16
194208,114,-4
194308,136,18
194408,123,5
194508,116,-2
194608,76,-42
194708,273,155
194808,145,27
194908,179,61
195008,59,-59
195108,66,-52
195208,89,-29
195308,158,40
195408,94,-24
195508,217,99
195608,108,-10
195708,108,-10
195808,120,2
195908,195,77
196008,163,45
196108,174,56
196208,112,-6
196308,105,-13
196408,75,-43
196508,90,-28
196608,78,-40
196708,75,-43
196808,112,-6
196908,183,65
197008,135,17
197108,94,-24
197208,115,-3
197308,169,51
197408,73,-45
197508,123,5
197608,157,39
197708,52,-66
197808,127,9
197908,83,-35
198008,118,0
198108,117,-1
198208,106,-12
198308,242,124
198408,188,70
198508,58,-60
198608,64,-54
198708,101,-17
198808,184,66
198908,130,12
199008,125,7
199108,155,37
199208,52,-66
199308,123,5
199408,74,-44
199508,192,74
199608,128,10
199708,84,-34
199808,159,41
199908,113,-5
200008,140,22
200108,178,60
200208,115,-3
200308,194,76
200408,42,-76
200508,121,3
200608,144,26
200708,125,7
200808,121,3
200908,80,-38
201008,207,89
201108,148,30
201208,121,3
201308,145,27
201408,135,17
201508,102,-16
