New Jersey, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,168,49
189606,86,-33
189706,51,-68
189806,126,7
189906,171,52
190006,134,15
190106,125,6
190206,77,-42
190306,27,-92
190406,94,-25
190506,90,-29
190606,143,24
190706,31,-88
190806,122,3
190906,123,4
191006,63,-56
191106,103,-16
191206,82,-37
191306,107,-12
191406,96,-23
191506,64,-55
191606,35,-84
191706,103,-16
191806,58,-61
191906,123,4
192006,95,-24
192106,135,16
192206,155,36
192306,182,63
192406,62,-57
192506,226,107
192606,37,-82
192706,43,-76
192806,66,-53
192906,122,3
193006,157,38
193106,115,-4
193206,113,-6
193306,153,34
193406,194,75
193506,102,-17
193606,103,-16
193706,137,18
193806,93,-26
193906,147,28
194006,98,-21
194106,114,-5
194206,126,7
194306,247,128
194406,143,24
194506,120,1
194606,83,-36
194706,76,-43
194806,103,-16
194906,181,62
195006,95,-24
195106,97,-22
195206,173,54
195306,140,21
195406,131,12
195506,76,-43
195606,136,17
195706,203,84
195806,52,-67
195906,140,21
196006,120,1
196106,118,-1
196206,137,18
196306,116,-3
196406,112,-7
196506,99,-20
196606,147,28
196706,150,31
196806,107,-12
196906,150,31
197006,105,-14
197106,149,30
197206,61,-58
197306,191,72
197406,76,-43
197506,128,9
197606,186,67
197706,84,-35
197806,112,-7
197906,67,-52
198006,83,-36
198106,145,26
198206,65,-54
198306,134,15
198406,177,58
198506,73,-46
198606,128,9
198706,176,57
198806,119,0
198906,177,58
199006,130,11
199106,173,54
199206,78,-41
199306,132,13
199406,206,87
199506,136,17
199606,151,32
199706,100,-19
199806,114,-5
199906,167,48
200006,155,36
200106,174,55
200206,152,33
200306,90,-29
200406,124,5
200506,210,91
200606,151,32
200706,167,48
200806,230,111
200906,95,-24
201006,253,134
201106,195,76
201206,149,30
201306,181,62
201406,166,47
201506,155,36
