South Carolina, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,17,-16
189604,85,52
189704,27,-6
189804,6,-27
189904,12,-21
190004,33,0
190104,0,-33
190204,11,-22
190304,14,-19
190404,8,-25
190504,33,0
190604,48,15
190704,0,-33
190804,79,46
190904,41,8
191004,32,-1
191104,18,-15
191204,44,11
191304,14,-19
191404,35,2
191504,26,-7
191604,18,-15
191704,53,20
191804,15,-18
191904,25,-8
192004,19,-14
192104,35,2
192204,53,20
192304,19,-14
192404,21,-12
192504,65,32
192604,13,-20
192704,41,8
192804,15,-18
192904,52,19
193004,41,8
193104,15,-18
193204,30,-3
193304,22,-11
193404,38,5
193504,33,0
193604,16,-17
193704,18,-15
193804,31,-2
193904,27,-6
194004,15,-18
194104,49,16
194204,45,12
194304,18,-15
194404,22,-11
194504,82,49
194604,42,9
194704,67,34
194804,66,33
194904,20,-13
195004,14,-19
195104,19,-14
195204,20,-13
195304,22,-11
195404,78,45
195504,68,35
195604,17,-16
195704,52,19
195804,26,-7
195904,45,12
196004,50,17
196104,3,-30
196204,12,-21
196304,48,15
196404,32,-1
196504,39,6
196604,21,-12
196704,69,36
196804,38,5
196904,35,2
197004,54,21
197104,18,-15
197204,26,-7
197304,14,-19
197404,30,-3
197504,18,-15
197604,33,0
197704,65,32
197804,42,9
197904,41,8
198004,32,-1
198104,79,46
198204,14,-19
198304,3,-30
198404,14,-19
198504,50,17
198604,44,11
198704,11,-22
198804,26,-7
198904,21,-12
199004,26,-7
199104,66,33
199204,19,-14
199304,7,-26
199404,58,25
199504,53,20
199604,20,-13
199704,10,-23
199804,29,-4
199904,70,37
200004,17,-16
200104,45,12
200204,105,72
200304,22,-11
200404,33,0
200504,17,-16
200604,80,47
200704,20,-13
200804,27,-6
200904,26,-7
201004,58,25
201104,67,34
201204,53,20
201304,30,-3
201404,42,9
201504,60,27
