Alabama, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,49,2
189604,119,72
189704,39,-8
189804,13,-34
189904,32,-15
190004,56,9
190104,9,-38
190204,37,-10
190304,29,-18
190404,22,-25
190504,54,7
190604,68,21
190704,12,-35
190804,110,63
190904,45,-2
191004,33,-14
191104,50,3
191204,61,14
191304,34,-13
191404,52,5
191504,58,11
191604,32,-15
191704,49,2
191804,26,-21
191904,35,-12
192004,34,-13
192104,32,-15
192204,87,40
192304,43,-4
192404,40,-7
192504,105,58
192604,22,-25
192704,110,63
192804,14,-33
192904,87,40
193004,61,14
193104,23,-24
193204,52,5
193304,34,-13
193404,47,0
193504,51,4
193604,28,-19
193704,38,-9
193804,44,-3
193904,30,-17
194004,27,-20
194104,65,18
194204,50,3
194304,44,-3
194404,31,-16
194504,74,27
194604,81,34
194704,68,21
194804,96,49
194904,31,-16
195004,15,-32
195104,27,-20
195204,26,-21
195304,25,-22
195404,109,62
195504,88,41
195604,29,-18
195704,69,22
195804,47,0
195904,36,-11
196004,56,9
196104,14,-33
196204,20,-27
196304,81,34
196404,69,22
196504,86,39
196604,48,1
196704,115,68
196804,52,5
196904,54,7
197004,79,32
197104,28,-19
197204,50,3
197304,20,-27
197404,34,-13
197504,25,-22
197604,42,-5
197704,68,21
197804,53,6
197904,52,5
198004,24,-23
198104,100,53
198204,27,-20
198304,8,-39
198404,29,-18
198504,56,9
198604,39,-8
198704,21,-26
198804,42,-5
198904,27,-20
199004,29,-18
199104,80,33
199204,30,-17
199304,13,-34
199404,67,20
199504,47,0
199604,20,-27
199704,15,-32
199804,31,-16
199904,102,55
200004,22,-25
200104,67,20
200204,89,42
200304,49,2
200404,28,-19
200504,27,-20
200604,112,65
200704,21,-26
200804,42,-5
200904,30,-17
201004,58,11
201104,80,33
201204,72,25
201304,35,-12
201404,38,-9
201504,84,37
