Mississippi, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,404,93
189609,295,-16
189709,349,38
189809,335,24
189909,248,-63
190009,424,113
190109,253,-58
190209,258,-53
190309,256,-55
190409,383,72
190509,352,41
190609,397,86
190709,319,8
190809,313,2
190909,328,17
191009,391,80
191109,472,161
191209,370,59
191309,274,-37
191409,289,-22
191509,358,47
191609,274,-37
191709,263,-48
191809,193,-118
191909,324,13
192009,378,67
192109,479,168
192209,371,60
192309,329,18
192409,259,-52
192509,528,217
192609,423,112
192709,370,59
192809,241,-70
192909,298,-13
193009,332,21
193109,410,99
193209,282,-29
193309,445,134
193409,283,-28
193509,291,-20
193609,423,112
193709,271,-40
193809,307,-4
193909,392,81
194009,234,-77
194109,375,64
194209,242,-69
194309,229,-82
194409,327,16
194509,364,53
194609,264,-47
194709,349,38
194809,235,-76
194909,261,-50
195009,253,-58
195109,335,24
195209,253,-58
195309,298,-13
195409,396,85
195509,374,63
195609,257,-54
195709,253,-58
195809,332,21
195909,319,8
196009,310,-1
196109,294,-17
196209,325,14
196309,281,-30
196409,308,-3
196509,317,6
196609,262,-49
196709,171,-140
196809,215,-96
196909,253,-58
197009,389,78
197109,324,13
197209,407,96
197309,342,31
197409,193,-118
197509,193,-118
197609,253,-58
197709,365,54
197809,358,47
197909,248,-63
198009,425,114
198109,227,-84
198209,243,-68
198309,244,-67
198409,250,-61
198509,264,-47
198609,379,68
198709,281,-30
198809,321,10
198909,246,-65
199009,359,48
199109,286,-25
199209,269,-42
199309,292,-19
199409,247,-64
199509,283,-28
199609,250,-61
199709,326,15
199809,412,101
199909,270,-41
200009,316,5
200109,250,-61
200209,381,70
200309,263,-48
200409,299,-12
200509,392,81
200609,255,-56
200709,355,44
200809,281,-30
200909,330,19
201009,364,53
201109,239,-72
201209,290,-21
201309,361,50
201409,347,36
201509,336,25
