Montana, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,6,-13
189606,28,9
189706,13,-6
189806,12,-7
189906,9,-10
190006,61,42
190106,4,-15
190206,7,-12
190306,24,5
190406,13,-6
190506,7,-12
190606,8,-11
190706,8,-11
190806,7,-12
190906,16,-3
191006,29,10
191106,30,11
191206,22,3
191306,26,7
191406,13,-6
191506,4,-15
191606,7,-12
191706,8,-11
191806,55,36
191906,55,36
192006,12,-7
192106,43,24
192206,36,17
192306,17,-2
192406,7,-12
192506,15,-4
192606,16,-3
192706,12,-7
192806,5,-14
192906,13,-6
193006,18,-1
193106,49,30
193206,21,2
193306,58,39
193406,18,-1
193506,13,-6
193606,46,27
193706,18,-1
193806,24,5
193906,6,-13
194006,31,12
194106,19,0
194206,6,-13
194306,7,-12
194406,7,-12
194506,4,-15
194606,13,-6
194706,6,-13
194806,17,-2
194906,15,-4
195006,8,-11
195106,2,-17
195206,20,1
195306,12,-7
195406,7,-12
195506,10,-9
195606,36,17
195706,12,-7
195806,8,-11
195906,26,7
196006,17,-2
196106,64,45
196206,17,-2
196306,15,-4
196406,12,-7
196506,11,-8
196606,12,-7
196706,8,-11
196806,9,-10
196906,7,-12
197006,33,14
197106,17,-2
197206,27,8
197306,19,0
197406,34,15
197506,8,-11
197606,11,-8
197706,40,21
197806,16,-3
197906,19,0
198006,19,0
198106,9,-10
198206,10,-9
198306,13,-6
198406,15,-4
198506,14,-5
198606,51,32
198706,36,17
198806,97,78
198906,16,-3
199006,18,-1
199106,17,-2
199206,29,10
199306,8,-11
199406,21,2
199506,14,-5
199606,28,9
199706,27,8
199806,5,-14
199906,12,-7
200006,14,-5
200106,17,-2
200206,22,3
200306,14,-5
200406,8,-11
200506,15,-4
200606,36,17
200706,27,8
200806,10,-9
200906,9,-10
201006,13,-6
201106,10,-9
201206,29,10
201306,18,-1
201406,10,-9
201506,59,40
