Arizona, Cooling Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,24,1
189603,39,16
189703,5,-18
189803,11,-12
189903,16,-7
190003,60,37
190103,14,-9
190203,7,-16
190303,13,-10
190403,47,24
190503,19,-4
190603,19,-4
190703,22,-1
190803,31,8
190903,7,-16
191003,70,47
191103,37,14
191203,13,-10
191303,7,-16
191403,41,18
191503,12,-11
191603,50,27
191703,7,-16
191803,30,7
191903,8,-15
192003,9,-14
192103,45,22
192203,6,-17
192303,9,-14
192403,5,-18
192503,32,9
192603,29,6
192703,11,-12
192803,34,11
192903,12,-11
193003,15,-8
193103,19,-4
193203,18,-5
193303,18,-5
193403,85,62
193503,8,-15
193603,32,9
193703,13,-10
193803,11,-12
193903,24,1
194003,40,17
194103,12,-11
194203,10,-13
194303,34,11
194403,7,-16
194503,6,-17
194603,22,-1
194703,25,2
194803,5,-18
194903,13,-10
195003,28,5
195103,15,-8
195203,4,-19
195303,24,1
195403,13,-10
195503,18,-5
195603,27,4
195703,25,2
195803,7,-16
195903,28,5
196003,43,20
196103,19,-4
196203,5,-18
196303,16,-7
196403,7,-16
196503,9,-14
196603,27,4
196703,36,13
196803,20,-3
196903,8,-15
197003,12,-11
197103,30,7
197203,100,77
197303,4,-19
197403,31,8
197503,10,-13
197603,14,-9
197703,8,-15
197803,40,17
197903,12,-11
198003,12,-11
198103,17,-6
198203,15,-8
198303,14,-9
198403,35,12
198503,16,-7
198603,63,40
198703,14,-9
198803,30,7
198903,70,47
199003,39,16
199103,6,-17
199203,19,-4
199303,31,8
199403,42,19
199503,30,7
199603,37,14
199703,74,51
199803,16,-7
199903,37,14
200003,27,4
200103,31,8
200203,22,-1
200303,24,1
200403,114,91
200503,19,-4
200603,15,-8
200703,65,42
200803,38,15
200903,46,23
201003,17,-6
201103,51,28
201203,31,8
201303,66,43
201403,61,38
201503,93,70
