Kansas, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,255,-26
189606,271,-10
189706,310,29
189806,311,30
189906,267,-14
190006,289,8
190106,375,94
190206,202,-79
190306,121,-160
190406,195,-86
190506,327,46
190606,228,-53
190706,219,-62
190806,225,-56
190906,263,-18
191006,224,-57
191106,449,168
191206,168,-113
191306,290,9
191406,413,132
191506,170,-111
191606,191,-90
191706,243,-38
191806,398,117
191906,248,-33
192006,255,-26
192106,299,18
192206,309,28
192306,267,-14
192406,292,11
192506,375,94
192606,247,-34
192706,211,-70
192806,141,-140
192906,238,-43
193006,247,-34
193106,376,95
193206,280,-1
193306,466,185
193406,470,189
193506,192,-89
193606,370,89
193706,297,16
193806,265,-16
193906,314,33
194006,276,-5
194106,239,-42
194206,253,-28
194306,326,45
194406,334,53
194506,160,-121
194606,330,49
194706,241,-40
194806,280,-1
194906,317,36
195006,298,17
195106,169,-112
195206,500,219
195306,505,224
195406,358,77
195506,192,-89
195606,372,91
195706,237,-44
195806,263,-18
195906,313,32
196006,258,-23
196106,236,-45
196206,244,-37
196306,358,77
196406,266,-15
196506,254,-27
196606,276,-5
196706,238,-43
196806,295,14
196906,196,-85
197006,247,-34
197106,361,80
197206,301,20
197306,312,31
197406,218,-63
197506,250,-31
197606,246,-35
197706,335,54
197806,305,24
197906,254,-27
198006,377,96
198106,330,49
198206,157,-124
198306,208,-73
198406,309,28
198506,209,-72
198606,352,71
198706,317,36
198806,368,87
198906,192,-89
199006,362,81
199106,352,71
199206,165,-116
199306,239,-42
199406,366,85
199506,211,-70
199606,306,25
199706,245,-36
199806,296,15
199906,218,-63
200006,229,-52
200106,254,-27
200206,343,62
200306,198,-83
200406,216,-65
200506,319,38
200606,325,44
200706,247,-34
200806,291,10
200906,325,44
201006,384,103
201106,383,102
201206,366,85
201306,306,25
201406,281,0
201506,340,59
