Contiguous U.S., Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,16.52,-3.23
189601,21.52,1.77
189701,18.66,-1.09
189801,20.57,0.82
189901,19.49,-0.26
190001,23.94,4.19
190101,21.09,1.34
190201,19.18,-0.57
190301,21,1.25
190401,16.34,-3.41
190501,17.4,-2.35
190601,22.37,2.62
190701,20.93,1.18
190801,21.61,1.86
190901,22.24,2.49
191001,19.4,-0.35
191101,22.41,2.66
191201,14.14,-5.61
191301,19.49,-0.26
191401,24.51,4.76
191501,18.37,-1.38
191601,18.18,-1.57
191701,17.55,-2.20
191801,13.28,-6.47
191901,20.91,1.16
192001,19.15,-0.60
192101,24.24,4.49
192201,16.38,-3.37
192301,24.1,4.35
192401,14.85,-4.90
192501,18.32,-1.43
192601,20.16,0.41
192701,21.22,1.47
192801,21.11,1.36
192901,15.51,-4.24
193001,13.32,-6.43
193101,22.35,2.60
193201,22.03,2.28
193301,23.7,3.95
193401,24.48,4.73
193501,20.84,1.09
193601,17.15,-2.60
193701,14.74,-5.01
193801,22.14,2.39
193901,23.79,4.04
194001,14.09,-5.66
194101,22.86,3.11
194201,18.84,-0.91
194301,18.46,-1.29
194401,21.13,1.38
194501,20.52,0.77
194601,20.82,1.07
194701,21.24,1.49
194801,16.79,-2.96
194901,16.12,-3.63
195001,19.56,-0.19
195101,19.26,-0.49
195201,21.7,1.95
195301,26.01,6.26
195401,20.07,0.32
195501,19.44,-0.31
195601,20.89,1.14
195701,16.97,-2.78
195801,21.42,1.67
195901,18.55,-1.20
196001,20.16,0.41
196101,18.19,-1.56
196201,16.11,-3.64
196301,12.97,-6.78
196401,20.17,0.42
196501,21.25,1.50
196601,16.39,-3.36
196701,22.3,2.55
196801,18.57,-1.18
196901,19.81,0.06
197001,17.04,-2.71
197101,18.84,-0.91
197201,18.91,-0.84
197301,19.83,0.08
197401,21.31,1.56
197501,21.81,2.06
197601,18.37,-1.38
197701,12.52,-7.23
197801,16.86,-2.89
197901,12.58,-7.17
198001,21.85,2.10
198101,21.29,1.54
198201,15.12,-4.63
198301,23.86,4.11
198401,18.72,-1.03
198501,16.2,-3.55
198601,23.32,3.57
198701,21.36,1.61
198801,17.44,-2.31
198901,23.04,3.29
199001,25.83,6.08
199101,19.72,-0.03
199201,23.72,3.97
199301,21.33,1.58
199401,18.9,-0.85
199501,23.99,4.24
199601,18.61,-1.14
199701,20.1,0.35
199801,25.66,5.91
199901,23.13,3.38
200001,22.91,3.16
200101,21.31,1.56
200201,23.9,4.15
200301,22.24,2.49
200401,20.26,0.51
200501,23.92,4.17
200601,28.22,8.47
200701,21.33,1.58
200801,19.76,0.01
200901,19.76,0.01
201001,21.31,1.56
201101,19.36,-0.39
201201,24.67,4.92
201301,21.79,2.04
201401,18.68,-1.07
201501,22.87,3.12
201601,22.5,2.75
