Contiguous U.S., Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,47.05,-0.39
189605,50.14,2.70
189705,47.71,0.27
189805,47.82,0.38
189905,47.57,0.13
190005,48.58,1.14
190105,48.22,0.78
190205,49.57,2.13
190305,47.17,-0.27
190405,47.26,-0.18
190505,47.48,0.04
190605,47.17,-0.27
190705,43.63,-3.81
190805,46.65,-0.79
190905,45.23,-2.21
191005,45.97,-1.47
191105,47.66,0.22
191205,47.89,0.45
191305,47.01,-0.43
191405,48.24,0.80
191505,46.56,-0.88
191605,46.4,-1.04
191705,43.02,-4.42
191805,47.8,0.36
191905,47.44,0.00
192005,46.83,-0.61
192105,47.66,0.22
192205,48.63,1.19
192305,46.74,-0.70
192405,44.53,-2.91
192505,46.35,-1.09
192605,47.59,0.15
192705,47.55,0.11
192805,47.97,0.53
192905,46.08,-1.36
193005,46.94,-0.50
193105,45.95,-1.49
193205,47.62,0.18
193305,47.71,0.27
193405,50.14,2.70
193505,45.73,-1.71
193605,49.77,2.33
193705,48.49,1.05
193805,47.61,0.17
193905,48.96,1.52
194005,47.14,-0.30
194105,49.42,1.98
194205,46.63,-0.81
194305,47.21,-0.23
194405,49.06,1.62
194505,45.39,-2.05
194605,46.24,-1.20
194705,47.03,-0.41
194805,47.26,-0.18
194905,48.88,1.44
195005,46.63,-0.81
195105,47.53,0.09
195205,47.46,0.02
195305,46.99,-0.45
195405,45.7,-1.74
195505,48.29,0.85
195605,48.85,1.41
195705,48.09,0.65
195805,48.81,1.37
195905,48.56,1.12
196005,46.2,-1.24
196105,46.04,-1.40
196205,49.57,2.13
196305,48.04,0.60
196405,48.42,0.98
196505,48.2,0.76
196605,46.54,-0.90
196705,44.76,-2.68
196805,45.7,-1.74
196905,48.11,0.67
197005,47.73,0.29
197105,45.34,-2.10
197205,47.59,0.15
197305,46.26,-1.18
197405,47.86,0.42
197505,47.79,0.35
197605,45.84,-1.60
197705,49.23,1.79
197805,47.61,0.17
197905,46.8,-0.64
198005,47.79,0.35
198105,46.85,-0.59
198205,48.43,0.99
198305,45.36,-2.08
198405,47.19,-0.25
198505,48.97,1.53
198605,48.45,1.01
198705,50.54,3.10
198805,47.48,0.04
198905,47.73,0.29
199005,46.83,-0.61
199105,50.4,2.96
199205,48.04,0.60
199305,48.38,0.94
199405,47.86,0.42
199505,47.21,-0.23
199605,48.99,1.55
199705,46.49,-0.95
199805,49.78,2.34
199905,47.37,-0.07
200005,50.27,2.83
200105,49.5,2.06
200205,46.09,-1.35
200305,48.76,1.32
200405,49.44,2.00
200505,47.1,-0.34
200605,49.06,1.62
200705,49.3,1.86
200805,46.56,-0.88
200905,49.14,1.70
201005,47.75,0.31
201105,47.05,-0.39
201205,50.23,2.79
201305,48.18,0.74
201405,48.45,1.01
201505,49.12,1.68
