Contiguous U.S., Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,27.86,-2.13
189603,26.62,-3.37
189703,28.27,-1.72
189803,29.75,-0.24
189903,26.38,-3.61
190003,29.53,-0.46
190103,28.98,-1.01
190203,30.79,0.80
190303,31.8,1.81
190403,30.54,0.55
190503,34.34,4.35
190603,25.9,-4.09
190703,34.29,4.30
190803,32.02,2.03
190903,29.37,-0.62
191003,35.76,5.77
191103,31.75,1.76
191203,25.34,-4.65
191303,27.14,-2.85
191403,28.94,-1.05
191503,26.49,-3.50
191603,29.68,-0.31
191703,26.65,-3.34
191803,33.19,3.20
191903,29.61,-0.38
192003,28.65,-1.34
192103,34.7,4.71
192203,29.37,-0.62
192303,26.1,-3.89
192403,27.16,-2.83
192503,31.35,1.36
192603,28.09,-1.90
192703,31.26,1.27
192803,31.39,1.40
192903,32.14,2.15
193003,28.62,-1.37
193103,28.33,-1.66
193203,26.37,-3.62
193303,30.4,0.41
193403,29.62,-0.37
193503,32.2,2.21
193603,31.35,1.36
193703,27.95,-2.04
193803,33.84,3.85
193903,30.24,0.25
194003,30.13,0.14
194103,28.09,-1.90
194203,29.68,-0.31
194303,26.31,-3.68
194403,27.21,-2.78
194503,33.55,3.56
194603,34.66,4.67
194703,27.39,-2.60
194803,27.41,-2.58
194903,29.79,-0.20
195003,27.16,-2.83
195103,27.03,-2.96
195203,27.14,-2.85
195303,32.16,2.17
195403,27.77,-2.22
195503,27.81,-2.18
195603,28,-1.99
195703,30.56,0.57
195803,28.56,-1.43
195903,29.12,-0.87
196003,24.6,-5.39
196103,32.52,2.53
196203,26.91,-3.08
196303,31.33,1.34
196403,26.78,-3.21
196503,24.3,-5.69
196603,30.49,0.50
196703,31.46,1.47
196803,31.15,1.16
196903,24.55,-5.44
197003,27.72,-2.27
197103,27.73,-2.26
197203,31.42,1.43
197303,34.32,4.33
197403,32.85,2.86
197503,27.9,-2.09
197603,30.22,0.23
197703,31.37,1.38
197803,29.89,-0.10
197903,31.06,1.07
198003,28.31,-1.68
198103,31.05,1.06
198203,31.21,1.22
198303,32.76,2.77
198403,29.17,-0.82
198503,32.04,2.05
198603,33.78,3.79
198703,31.24,1.25
198803,29.89,-0.10
198903,30.9,0.91
199003,33.37,3.38
199103,31.93,1.94
199203,33.04,3.05
199303,31.01,1.02
199403,32.2,2.21
199503,32.27,2.28
199603,26.94,-3.05
199703,32.23,2.24
199803,30.83,0.84
199903,30.83,0.84
200003,33.98,3.99
200103,30.72,0.73
200203,27.37,-2.62
200303,31.62,1.63
200403,35.53,5.54
200503,30.72,0.73
200603,31.5,1.51
200703,35.28,5.29
200803,29.66,-0.33
200903,30.9,0.91
201003,32.02,2.03
201103,31.84,1.85
201203,37.96,7.97
201303,29.1,-0.89
201403,28.18,-1.81
201503,33.04,3.05
