Contiguous U.S., Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,21.33,-1.27
189612,25.32,2.72
189712,20.88,-1.72
189812,18.41,-4.19
189912,21.72,-0.88
190012,24.3,1.70
190112,20.98,-1.62
190212,21.4,-1.20
190312,19.09,-3.51
190412,21.52,-1.08
190512,21.07,-1.53
190612,25.7,3.10
190712,24.76,2.16
190812,23.23,0.63
190912,16.45,-6.15
191012,21.87,-0.73
191112,22.6,0.00
191212,22.46,-0.14
191312,24.15,1.55
191412,17.96,-4.64
191512,23.11,0.51
191612,18,-4.60
191712,18.64,-3.96
191812,25.16,2.56
191912,18.39,-4.21
192012,23.52,0.92
192112,24.8,2.20
192212,23.5,0.90
192312,26.35,3.75
192412,17.33,-5.27
192512,22.75,0.15
192612,21.81,-0.79
192712,17.83,-4.77
192812,22.51,-0.09
192912,23.22,0.62
193012,21.33,-1.27
193112,25.86,3.26
193212,19.35,-3.25
193312,25.47,2.87
193412,22.91,0.31
193512,21.25,-1.35
193612,24.57,1.97
193712,23.47,0.87
193812,23.86,1.26
193912,26.6,4.00
194012,26.42,3.82
194112,26.56,3.96
194212,23.13,0.53
194312,22.28,-0.32
194412,20.62,-1.98
194512,19.35,-3.25
194612,25.56,2.96
194712,22.87,0.27
194812,22.41,-0.19
194912,22.42,-0.18
195012,22.28,-0.32
195112,21.07,-1.53
195212,24.12,1.52
195312,23.41,0.81
195412,23.32,0.72
195512,21.52,-1.08
195612,25.18,2.58
195712,26.26,3.66
195812,21.09,-1.51
195912,25.97,3.37
196012,20.08,-2.52
196112,21.49,-1.11
196212,22.71,0.11
196312,17.49,-5.11
196412,22.37,-0.23
196512,25.97,3.37
196612,22.77,0.17
196712,22.37,-0.23
196812,19.92,-2.68
196912,23.81,1.21
197012,23.07,0.47
197112,24.75,2.15
197212,20.34,-2.26
197312,23.63,1.03
197412,24.03,1.43
197512,24.01,1.41
197612,18.68,-3.92
197712,23.31,0.71
197812,19.38,-3.22
197912,24.93,2.33
198012,24.21,1.61
198112,23.86,1.26
198212,26.6,4.00
198312,16.52,-6.08
198412,24.64,2.04
198512,18.14,-4.46
198612,25.14,2.54
198712,25.18,2.58
198812,22.41,-0.19
198912,16.57,-6.03
199012,19.8,-2.80
199112,26.1,3.50
199212,22.6,0.00
199312,24.37,1.77
199412,26.76,4.16
199512,23.56,0.96
199612,24.12,1.52
199712,24.94,2.34
199812,25.11,2.51
199912,25.11,2.51
200012,18.34,-4.26
200112,26.08,3.48
200212,25.27,2.67
200312,25.14,2.54
200412,24.62,2.02
200512,22.62,0.02
200612,26.02,3.42
200712,23.47,0.87
200812,21.15,-1.45
200912,20.3,-2.30
201012,22.91,0.31
201112,25.27,2.67
201212,26.02,3.42
201312,20.61,-1.99
201412,28.26,5.66
201512,29.26,6.66
