Contiguous U.S., Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,52.38,0.48
189609,50.59,-1.31
189709,52.77,0.87
189809,52.23,0.33
189909,50.61,-1.29
190009,53.26,1.36
190109,50.79,-1.11
190209,49.53,-2.37
190309,49.78,-2.12
190409,52.16,0.26
190509,53.04,1.14
190609,53.71,1.81
190709,51.31,-0.59
190809,51.66,-0.24
190909,51.46,-0.44
191009,52.83,0.93
191109,53.83,1.93
191209,50.43,-1.47
191309,50.88,-1.02
191409,51.53,-0.37
191509,52.3,0.40
191609,49.96,-1.94
191709,51.1,-0.80
191809,48.76,-3.14
191909,52.9,1.00
192009,52.7,0.80
192109,53.71,1.81
192209,53.04,1.14
192309,52.63,0.73
192409,49.39,-2.51
192509,54.28,2.38
192609,51.94,0.04
192709,52.5,0.60
192809,49.5,-2.40
192909,50.97,-0.93
193009,52.57,0.67
193109,55.02,3.12
193209,50.95,-0.95
193309,54.73,2.83
193409,50.76,-1.14
193509,51.33,-0.57
193609,53.44,1.54
193709,52.3,0.40
193809,53.26,1.36
193909,53.51,1.61
194009,52.56,0.66
194109,52.14,0.24
194209,50.5,-1.40
194309,50.27,-1.63
194409,52.09,0.19
194509,52.03,0.13
194609,51.64,-0.26
194709,52.86,0.96
194809,52.11,0.21
194909,50.36,-1.54
195009,51.48,-0.42
195109,50.76,-1.14
195209,51.37,-0.53
195309,50.94,-0.96
195409,52.77,0.87
195509,52.2,0.30
195609,50.25,-1.65
195709,51.01,-0.89
195809,52.88,0.98
195909,52.41,0.51
196009,53.1,1.20
196109,51.15,-0.75
196209,51.3,-0.60
196309,53.4,1.50
196409,50.79,-1.11
196509,50.23,-1.67
196609,51.96,0.06
196709,51.08,-0.82
196809,50.65,-1.25
196909,52.88,0.98
197009,51.87,-0.03
197109,52,0.10
197209,52.23,0.33
197309,52.45,0.55
197409,49.24,-2.66
197509,50.02,-1.88
197609,51.19,-0.71
197709,54.07,2.17
197809,53.4,1.50
197909,52.36,0.46
198009,53.35,1.45
198109,51.76,-0.14
198209,52.05,0.15
198309,52.47,0.57
198409,50.25,-1.65
198509,50.94,-0.96
198609,52.81,0.91
198709,51.78,-0.12
198809,51.6,-0.30
198909,51.19,-0.71
199009,54.34,2.44
199109,52.25,0.35
199209,51.8,-0.10
199309,50.27,-1.63
199409,52.41,0.51
199509,51.82,-0.08
199609,51.51,-0.39
199709,53.89,1.99
199809,56.01,4.11
199909,50.74,-1.16
200009,52.05,0.15
200109,52.54,0.64
200209,54.05,2.15
200309,52.05,0.15
200409,53.04,1.14
200509,53.91,2.01
200609,50.72,-1.18
200709,53.46,1.56
200809,52.43,0.53
200909,53.83,1.93
201009,53.19,1.29
201109,52.74,0.84
201209,52.54,0.64
201309,54.72,2.82
201409,54.12,2.22
201509,55.74,3.84
