Contiguous U.S., Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,58.55,-1.99
189607,61.34,0.80
189707,60.3,-0.24
189807,60.31,-0.23
189907,59.88,-0.66
190007,60.12,-0.42
190107,62.55,2.01
190207,59.11,-1.43
190307,59.07,-1.47
190407,58.53,-2.01
190507,59.36,-1.18
190607,59.56,-0.98
190707,59.76,-0.78
190807,60.19,-0.35
190907,60.01,-0.53
191007,60.6,0.06
191107,59.54,-1.00
191207,59.9,-0.64
191307,59.99,-0.55
191407,60.91,0.37
191507,58.73,-1.81
191607,61.45,0.91
191707,61.2,0.66
191807,59.09,-1.45
191907,61.2,0.66
192007,59.36,-1.18
192107,61.72,1.18
192207,59.9,-0.64
192307,60.96,0.42
192407,58.37,-2.17
192507,60.84,0.30
192607,59.88,-0.66
192707,59.5,-1.04
192807,60.64,0.10
192907,60.28,-0.26
193007,60.93,0.39
193107,62.08,1.54
193207,60.78,0.24
193307,61.5,0.96
193407,62.17,1.63
193507,61.92,1.38
193607,62.74,2.20
193707,61.3,0.76
193807,60.89,0.35
193907,61.14,0.60
194007,60.69,0.15
194107,61.03,0.49
194207,60.62,0.08
194307,60.76,0.22
194407,58.98,-1.56
194507,59.77,-0.77
194607,60.53,-0.01
194707,59.09,-1.45
194807,60.17,-0.37
194907,61.32,0.78
195007,58.8,-1.74
195107,60.46,-0.08
195207,60.35,-0.19
195307,60.87,0.33
195407,61.65,1.11
195507,61.63,1.09
195607,59.92,-0.62
195707,61.02,0.48
195807,60.17,-0.37
195907,60.1,-0.44
196007,60.26,-0.28
196107,60.17,-0.37
196207,59.14,-1.40
196307,60.37,-0.17
196407,61.41,0.87
196507,59.76,-0.78
196607,61.72,1.18
196707,59.77,-0.77
196807,59.95,-0.59
196907,61.41,0.87
197007,60.71,0.17
197107,59.22,-1.32
197207,59.4,-1.14
197307,60.31,-0.23
197407,60.67,0.13
197507,60.98,0.44
197607,59.95,-0.59
197707,61.36,0.82
197807,60.69,0.15
197907,60.49,-0.05
198007,61.97,1.43
198107,61.36,0.82
198207,60.78,0.24
198307,61,0.46
198407,60.24,-0.30
198507,60.76,0.22
198607,60.93,0.39
198707,60.69,0.15
198807,61.38,0.84
198907,61.43,0.89
199007,60.76,0.22
199107,61.14,0.60
199207,59.4,-1.14
199307,60.28,-0.26
199407,60.75,0.21
199507,60.64,0.10
199607,60.98,0.44
199707,60.51,-0.03
199807,62.89,2.35
199907,61.74,1.20
200007,60.82,0.28
200107,61.84,1.30
200207,62.91,2.37
200307,62.22,1.68
200407,60.53,-0.01
200507,62.1,1.56
200607,63.23,2.69
200707,61.95,1.41
200807,61.09,0.55
200907,59.94,-0.60
201007,62.44,1.90
201107,63.36,2.82
201207,63.55,3.01
201307,61.99,1.45
201407,60.78,0.24
201507,61.84,1.30
