Contiguous U.S., Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,39.45,0.84
189604,40.32,1.71
189704,38.88,0.27
189804,38.05,-0.56
189904,38.23,-0.38
190004,39.87,1.26
190104,37.09,-1.52
190204,38.3,-0.31
190304,37.94,-0.67
190404,37,-1.61
190504,38.59,-0.02
190604,40.1,1.49
190704,35.55,-3.06
190804,39.79,1.18
190904,36.41,-2.20
191004,39.81,1.20
191104,37.87,-0.74
191204,38.86,0.25
191304,38.32,-0.29
191404,39.13,0.52
191504,42.06,3.45
191604,38.01,-0.60
191704,36.81,-1.80
191804,36.73,-1.88
191904,39.11,0.50
192004,35.44,-3.17
192104,38.26,-0.35
192204,38.79,0.18
192304,37.78,-0.83
192404,37.72,-0.89
192504,41.76,3.15
192604,37.38,-1.23
192704,39.65,1.04
192804,35.6,-3.01
192904,39.27,0.66
193004,41.05,2.44
193104,37.99,-0.62
193204,39,0.39
193304,37.33,-1.28
193404,40.3,1.69
193504,38.39,-0.22
193604,37.13,-1.48
193704,37.98,-0.63
193804,39.38,0.77
193904,38.48,-0.13
194004,38.28,-0.33
194104,40.41,1.80
194204,40.28,1.67
194304,39.74,1.13
194404,37.17,-1.44
194504,37.87,-0.74
194604,41.18,2.57
194704,38.89,0.28
194804,40.68,2.07
194904,39.02,0.41
195004,36.12,-2.49
195104,37.4,-1.21
195204,38.79,0.18
195304,36.75,-1.86
195404,41.13,2.52
195504,40.12,1.51
195604,36.61,-2.00
195704,39.29,0.68
195804,38.5,-0.11
195904,38.68,0.07
196004,39.83,1.22
196104,36.34,-2.27
196204,38.71,0.10
196304,39.61,1.00
196404,39.18,0.57
196504,40.23,1.62
196604,37.53,-1.08
196704,39.2,0.59
196804,37.96,-0.65
196904,39.96,1.35
197004,37.51,-1.10
197104,37.06,-1.55
197204,38.14,-0.47
197304,37.42,-1.19
197404,38.8,0.19
197504,35.62,-2.99
197604,39.11,0.50
197704,40.57,1.96
197804,39.76,1.15
197904,38.53,-0.08
198004,38.41,-0.20
198104,42.37,3.76
198204,36.3,-2.31
198304,35.8,-2.81
198404,37.96,-0.65
198504,41.29,2.68
198604,40.3,1.69
198704,39.38,0.77
198804,38.34,-0.27
198904,39.81,1.20
199004,40.01,1.40
199104,40.66,2.05
199204,40.08,1.47
199304,37.98,-0.63
199404,39.74,1.13
199504,37.31,-1.30
199604,37.58,-1.03
199704,35.96,-2.65
199804,38.66,0.05
199904,39.67,1.06
200004,39.42,0.81
200104,40.73,2.12
200204,41.04,2.43
200304,39.51,0.90
200404,39.97,1.36
200504,39.36,0.75
200604,42.04,3.43
200704,38.23,-0.38
200804,37.33,-1.28
200904,38.41,-0.20
201004,40.33,1.72
201104,39.72,1.11
201204,41.72,3.11
201304,37.26,-1.35
201404,38.8,0.19
201504,40.62,2.01
