Contiguous U.S., Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,58.32,-0.74
189608,59.13,0.07
189708,58.19,-0.87
189808,59.99,0.93
189908,58.69,-0.37
190008,59.88,0.82
190108,60.24,1.18
190208,58.3,-0.76
190308,58.46,-0.60
190408,57.87,-1.19
190508,59.41,0.35
190608,59.61,0.55
190708,57.97,-1.09
190808,57.96,-1.10
190908,59.77,0.71
191008,57.72,-1.34
191108,57.78,-1.28
191208,57.9,-1.16
191308,59.77,0.71
191408,58.69,-0.37
191508,57.43,-1.63
191608,58.89,-0.17
191708,57.56,-1.50
191808,59.22,0.16
191908,58.86,-0.20
192008,57.94,-1.12
192108,59.02,-0.04
192208,59.59,0.53
192308,58.42,-0.64
192408,58.3,-0.76
192508,57.83,-1.23
192608,59.54,0.48
192708,56.68,-2.38
192808,58.8,-0.26
192908,58.75,-0.31
193008,59.25,0.19
193108,58.73,-0.33
193208,59.34,0.28
193308,58.87,-0.19
193408,60.04,0.98
193508,59.81,0.75
193608,60.87,1.81
193708,61.07,2.01
193808,60.13,1.07
193908,58.87,-0.19
194008,59.02,-0.04
194108,59.38,0.32
194208,58.98,-0.08
194308,59.94,0.88
194408,58.64,-0.42
194508,59.04,-0.02
194608,58.12,-0.94
194708,60.93,1.87
194808,58.59,-0.47
194908,58.53,-0.53
195008,56.5,-2.56
195108,58.89,-0.17
195208,59.49,0.43
195308,58.62,-0.44
195408,59.02,-0.04
195508,60.51,1.45
195608,58.08,-0.98
195708,58.5,-0.56
195808,59.92,0.86
195908,60.33,1.27
196008,59.14,0.08
196108,59.85,0.79
196208,58.23,-0.83
196308,59.02,-0.04
196408,57.79,-1.27
196508,58.33,-0.73
196608,58.12,-0.94
196708,57.78,-1.28
196808,58.46,-0.60
196908,59.58,0.52
197008,59.9,0.84
197108,58.98,-0.08
197208,58.95,-0.11
197308,59.47,0.41
197408,57.58,-1.48
197508,58.78,-0.28
197608,57.34,-1.72
197708,59.54,0.48
197808,58.78,-0.28
197908,58.66,-0.40
198008,59.77,0.71
198108,59.25,0.19
198208,59.59,0.53
198308,62.13,3.07
198408,60.4,1.34
198508,58.21,-0.85
198608,58.86,-0.20
198708,59.14,0.08
198808,60.46,1.40
198908,59,-0.06
199008,59.63,0.57
199108,60.26,1.20
199208,57.34,-1.72
199308,59.54,0.48
199408,59.2,0.14
199508,61.5,2.44
199608,59.65,0.59
199708,59.34,0.28
199808,61.07,2.01
199908,59.88,0.82
200008,60.75,1.69
200108,61.18,2.12
200208,59.77,0.71
200308,61.88,2.82
200408,57.78,-1.28
200508,60.46,1.40
200608,60.66,1.60
200708,61.83,2.77
200808,59.61,0.55
200908,59.18,0.12
201008,61.27,2.21
201108,61.65,2.59
201208,60.21,1.15
201308,60.58,1.52
201408,60.26,1.20
201508,60.12,1.06
