Contiguous U.S., Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,15.57,-7.25
189602,23.52,0.70
189702,23.49,0.67
189802,23.97,1.15
189902,14.65,-8.17
190002,19.36,-3.46
190102,19.49,-3.33
190202,21.06,-1.76
190302,17.62,-5.20
190402,19.87,-2.95
190502,16.56,-6.26
190602,22.42,-0.40
190702,23.85,1.03
190802,22.48,-0.34
190902,23.9,1.08
191002,17.82,-5.00
191102,23.25,0.43
191202,20.19,-2.63
191302,18.59,-4.23
191402,18.21,-4.61
191502,26.33,3.51
191602,21.67,-1.15
191702,18.28,-4.54
191802,21.74,-1.08
191902,22.37,-0.45
192002,23.31,0.49
192102,25.5,2.68
192202,21,-1.82
192302,18.37,-4.45
192402,24.22,1.40
192502,26.83,4.01
192602,26.78,3.96
192702,27.52,4.70
192802,23.38,0.56
192902,15.96,-6.86
193002,28.54,5.72
193102,27.36,4.54
193202,25.81,2.99
193302,17.78,-5.04
193402,22.46,-0.36
193502,25.02,2.20
193602,14.2,-8.62
193702,20.95,-1.87
193802,25.77,2.95
193902,18.41,-4.41
194002,24.26,1.44
194102,23.45,0.63
194202,20.46,-2.36
194302,23.63,0.81
194402,23.9,1.08
194502,24.76,1.94
194602,22.5,-0.32
194702,19.71,-3.11
194802,20.77,-2.05
194902,20.89,-1.93
195002,24.01,1.19
195102,23,0.18
195202,24.67,1.85
195302,24.51,1.69
195402,28.98,6.16
195502,19.71,-3.11
195602,21.31,-1.51
195702,27.61,4.79
195802,21.85,-0.97
195902,21.74,-1.08
196002,20.61,-2.21
196102,26.33,3.51
196202,24.17,1.35
196302,22.08,-0.74
196402,20.14,-2.68
196502,20.8,-2.02
196602,20.59,-2.23
196702,20.79,-2.03
196802,22.01,-0.81
196902,23.13,0.31
197002,23.31,0.49
197102,22.35,-0.47
197202,21.83,-0.99
197302,23.13,0.31
197402,22.71,-0.11
197502,22.44,-0.38
197602,27.5,4.68
197702,23.56,0.74
197802,18.14,-4.68
197902,17.56,-5.26
198002,22.41,-0.41
198102,24.71,1.89
198202,21.79,-1.03
198302,27.19,4.37
198402,25.93,3.11
198502,20.03,-2.79
198602,25.75,2.93
198702,27.16,4.34
198802,21.72,-1.10
198902,18.81,-4.01
199002,25.23,2.41
199102,28,5.18
199202,29.34,6.52
199302,20.95,-1.87
199402,20.7,-2.12
199502,25.93,3.11
199602,24.22,1.40
199702,26.02,3.20
199802,29.61,6.79
199902,28.22,5.40
200002,28.36,5.54
200102,23.49,0.67
200202,24.22,1.40
200302,22.44,-0.38
200402,23.38,0.56
200502,27.73,4.91
200602,22.98,0.16
200702,21.94,-0.88
200802,23.38,0.56
200902,25.03,2.21
201002,22.44,-0.38
201102,21.67,-1.15
201202,26.96,4.14
201302,24.08,1.26
201402,21.24,-1.58
201502,21.56,-1.26
201602,28.2,5.38
