Contiguous U.S., Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,54.72,-0.90
189606,56.52,0.90
189706,55.31,-0.31
189806,56.66,1.04
189906,55.74,0.12
190006,57.06,1.44
190106,55.44,-0.18
190206,54.88,-0.74
190306,53.65,-1.97
190406,54.57,-1.05
190506,55.62,0.00
190606,54.66,-0.96
190706,53.2,-2.42
190806,54.25,-1.37
190906,56.41,0.79
191006,54.66,-0.96
191106,57.25,1.63
191206,53.71,-1.91
191306,55.31,-0.31
191406,56.7,1.08
191506,53.42,-2.20
191606,53.4,-2.22
191706,53.15,-2.47
191806,57.61,1.99
191906,56.16,0.54
192006,54.68,-0.94
192106,57.72,2.10
192206,56.91,1.29
192306,55.71,0.09
192406,55.26,-0.36
192506,57,1.38
192606,54.61,-1.01
192706,54.86,-0.76
192806,53.85,-1.77
192906,54.23,-1.39
193006,54.7,-0.92
193106,57.16,1.54
193206,56.35,0.73
193306,57.18,1.56
193406,57,1.38
193506,54.82,-0.80
193606,56.61,0.99
193706,56.16,0.54
193806,55.99,0.37
193906,56.16,0.54
194006,56.21,0.59
194106,55.78,0.16
194206,55.53,-0.09
194306,56.52,0.90
194406,55.78,0.16
194506,53.49,-2.13
194606,55.04,-0.58
194706,54.57,-1.05
194806,55.98,0.36
194906,56.53,0.91
195006,54.7,-0.92
195106,53.96,-1.66
195206,57.45,1.83
195306,56.98,1.36
195406,55.83,0.21
195506,53.67,-1.95
195606,56.75,1.13
195706,56.43,0.81
195806,55.31,-0.31
195906,56.91,1.29
196006,55.74,0.12
196106,55.94,0.32
196206,55.17,-0.45
196306,55.96,0.34
196406,55.29,-0.33
196506,54.61,-1.01
196606,54.7,-0.92
196706,55.58,-0.04
196806,55.69,0.07
196906,54.5,-1.12
197006,55.92,0.30
197106,56.53,0.91
197206,55.33,-0.29
197306,56.07,0.45
197406,54.82,-0.80
197506,55.15,-0.47
197606,54.66,-0.96
197706,57.11,1.49
197806,55.76,0.14
197906,54.57,-1.05
198006,55.4,-0.22
198106,57.36,1.74
198206,54.03,-1.59
198306,54.54,-1.08
198406,56.08,0.46
198506,54.93,-0.69
198606,57.65,2.03
198706,57.22,1.60
198806,56.7,1.08
198906,55.65,0.03
199006,57.22,1.60
199106,56.84,1.22
199206,55.08,-0.54
199306,55.13,-0.49
199406,57.97,2.35
199506,55.26,-0.36
199606,57.07,1.45
199706,56.17,0.55
199806,55.9,0.28
199906,56.23,0.61
200006,56.44,0.82
200106,56.44,0.82
200206,57.74,2.12
200306,55.56,-0.06
200406,55.76,0.14
200506,56.91,1.29
200606,57.4,1.78
200706,56.82,1.20
200806,56.57,0.95
200906,56.48,0.86
201006,58.39,2.77
201106,56.93,1.31
201206,56.88,1.26
201306,57.78,2.16
201406,57.36,1.74
201506,59.07,3.45
